k,jaccard_top_k,spearman_rank,kendall_tau,desplazamiento_medio,desplazamiento_maximo,coincidencias_top_k,reference,comparison
5,1,1,1,0,0,5,A,B
10,1,0.9878787878787879,0.9555555555555556,0.2,1,10,A,B
15,0.875,0.9571428571428572,0.8857142857142857,1.0666666666666667,6,14,A,B
20,1,0.8902255639097745,0.7894736842105263,1.5,9,20,A,B
30,0.8181818181818182,0.9666295884315906,0.8746438746438746,3.8666666666666667,30,27,A,B
