p_id,p_nombre,q_id,q_nombre,score_p_G0,score_q_G0,score_q_after_p,score_p_after_q,interaction_p_on_q,interaction_q_on_p,V_pq,V_qp,delta_order,abs_delta_order
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I11,JOSE JOAQUIN PEREZ,0.418101,0.402583,0.3773582252402681,0.4183609108137524,-0.02522477475973195,0.0002599108137523731,0.7954592252402681,0.8209439108137524,-0.025484685573484267,0.025484685573484267
MET-L01,Rinconada - Santuario,I14,LO OVALLE,0.591949,0.399958,0.37757921705426767,0.594958341711981,-0.022378782945732312,0.003009341711981084,0.9695282170542676,0.9949163417119811,-0.02538812465771345,0.02538812465771345
MET-L03,Norte - Sur,I30,WALKER - HUALLE - AGUIRRE,0.718422,0.366998,0.37253998214838463,0.6995754595973646,0.005541982148384639,-0.018846540402635448,1.0909619821483847,1.0665734595973646,0.024388522551020086,0.024388522551020086
MET-L01,Rinconada - Santuario,MET-L07,Diagonal Padre Hurtado - Vitacura,0.591949,0.569592,0.5362694397625458,0.5818855455613259,-0.03332256023745417,-0.010063454438674069,1.1282184397625459,1.1514775455613258,-0.023259105798779878,0.023259105798779878
MET-L02,Mapocho,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.512509,0.418101,0.42285790460474715,0.49457597098864675,0.0047569046047471475,-0.01793302901135324,0.9353669046047471,0.9126769709886468,0.02268993361610039,0.02268993361610039
MET-L07,Diagonal Padre Hurtado - Vitacura,MET-L08,Central,0.569592,0.51574,0.5457087903719006,0.621836160320726,0.02996879037190059,0.052244160320725985,1.1153007903719006,1.137576160320726,-0.022275369948825396,0.022275369948825396
MET-L09,Rinconada Maipú - Cajon del Maipo,C066,CUATRO PONIENTE,0.478703,0.419639,0.3936802487885237,0.4738312913818665,-0.025958751211476283,-0.0048717086181334635,0.8723832487885237,0.8934702913818665,-0.02108704259334282,0.02108704259334282
MET-L05,Diagonal San Bdo - La Dehesa,MET-L08,Central,0.633937,0.51574,0.49882571232815587,0.6376127558373464,-0.016914287671844108,0.0036757558373464727,1.1327627123281558,1.1533527558373464,-0.02059004350919058,0.02059004350919058
MET-L03,Norte - Sur,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.718422,0.418101,0.3797628619413249,0.6999542500055774,-0.038338138058675086,-0.018467749994422578,1.0981848619413248,1.1180552500055774,-0.019870388064252564,0.019870388064252564
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I14,LO OVALLE,0.418101,0.399958,0.35578386462544137,0.3936025603420821,-0.04417413537455861,-0.024498439657917925,0.7738848646254414,0.7935605603420821,-0.01967569571664074,0.01967569571664074
MET-L05,Diagonal San Bdo - La Dehesa,MET-L07,Diagonal Padre Hurtado - Vitacura,0.633937,0.569592,0.5344846319176746,0.6183012677447363,-0.035107368082325396,-0.015635732255263712,1.1684216319176746,1.1878932677447362,-0.019471635827061684,0.019471635827061684
MET-L03,Norte - Sur,MET-L06,Diagonal Norte - Sur,0.718422,0.571155,0.5930388668243991,0.7212024099603462,0.021883866824399134,0.0027804099603462307,1.3114608668243992,1.292357409960346,0.019103456864053125,0.019103456864053125
MET-L01,Rinconada - Santuario,C066,CUATRO PONIENTE,0.591949,0.419639,0.42057902738455366,0.5746606274357426,0.0009400273845536766,-0.017288372564257304,1.0125280273845536,0.9942996274357426,0.01822839994881098,0.01822839994881098
MET-L04,Radial,I11,JOSE JOAQUIN PEREZ,0.768011,0.402583,0.3771563876609859,0.7604246088495958,-0.02542661233901411,-0.007586391150404159,1.1451673876609858,1.163007608849596,-0.017840221188610172,0.017840221188610172
MET-L02,Mapocho,I26,SAN PABLO,0.512509,0.448229,0.4033316866708804,0.4499377293079846,-0.044897313329119615,-0.0625712706920154,0.9158406866708804,0.8981667293079846,0.017673957362895787,0.017673957362895787
MET-L06,Diagonal Norte - Sur,MET-L08,Central,0.571155,0.51574,0.5185123120834589,0.590433343528013,0.002772312083458961,0.019278343528013053,1.089667312083459,1.106173343528013,-0.01650603144455398,0.01650603144455398
MET-L08,Central,I26,SAN PABLO,0.51574,0.448229,0.4699709844557251,0.521497422966991,0.021741984455725116,0.005757422966990999,0.985710984455725,0.969726422966991,0.01598456148873406,0.01598456148873406
MET-L06,Diagonal Norte - Sur,MET-L07,Diagonal Padre Hurtado - Vitacura,0.571155,0.569592,0.5582495190222806,0.5755749966731283,-0.011342480977719394,0.0044199966731283125,1.1294045190222806,1.1451669966731282,-0.015762477650847595,0.015762477650847595
MET-L03,Norte - Sur,MET-L05,Diagonal San Bdo - La Dehesa,0.718422,0.633937,0.5688499736872159,0.6379034113886707,-0.06508702631278407,-0.08051858861132932,1.2872719736872158,1.2718404113886708,0.015431562298545032,0.015431562298545032
MET-L01,Rinconada - Santuario,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.591949,0.418101,0.39739610488936755,0.5855411492150555,-0.02070489511063245,-0.0064078507849444355,0.9893451048893676,1.0036421492150556,-0.014297044325688013,0.014297044325688013
MET-L03,Norte - Sur,I14,LO OVALLE,0.718422,0.399958,0.33403160496267764,0.666616215855803,-0.06592639503732234,-0.05180578414419701,1.0524536049626776,1.066574215855803,-0.01412061089312533,0.01412061089312533
