p_id,p_nombre,q_id,q_nombre,score_p_G0,score_q_G0,score_q_after_p,score_p_after_q,interaction_p_on_q,interaction_q_on_p,V_pq,V_qp,delta_order,abs_delta_order
MET-L01,Rinconada - Santuario,MET-L02,Mapocho,0.591949,0.512509,0.520307157792368,0.5968003528188734,0.007798157792368032,0.0048513528188735,1.112256157792368,1.1093093528188733,0.0029468049734946433,0.0029468049734946433
I26,SAN PABLO,I14,LO OVALLE,0.448229,0.399958,0.4039142103937557,0.44925910147792075,0.00395621039375571,0.001030101477920764,0.8521432103937556,0.8492171014779207,0.0029261089158348907,0.0029261089158348907
MET-L04,Radial,MET-L01,Rinconada - Santuario,0.768011,0.591949,0.5762024370962989,0.7496019291663768,-0.015746562903701022,-0.018409070833623198,1.344213437096299,1.3415509291663767,0.0026625079299222865,0.0026625079299222865
MET-L06,Diagonal Norte - Sur,MET-L02,Mapocho,0.571155,0.512509,0.5137288375745889,0.5747366164792901,0.0012198375745888779,0.0035816164792901173,1.0848838375745888,1.08724561647929,-0.0023617789047012394,0.0023617789047012394
MET-L03,Norte - Sur,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.718422,0.382805,0.38290510406937905,0.7163107566009208,0.00010010406937904781,-0.002111243399079199,1.101327104069379,1.0991157566009209,0.0022113474684581913,0.0022113474684581913
MET-L04,Radial,MET-L07,Diagonal Padre Hurtado - Vitacura,0.768011,0.569592,0.5398532808919505,0.736222501568789,-0.029738719108049483,-0.03178849843121101,1.3078642808919505,1.305814501568789,0.002049779323161527,0.002049779323161527
MET-L08,Central,C066,CUATRO PONIENTE,0.51574,0.419639,0.41963901647693164,0.5139864446591715,1.6476931652409377e-8,-0.0017535553408284388,0.9353790164769316,0.9336254446591715,0.0017535718177600357,0.0017535718177600357
MET-L04,Radial,I26,SAN PABLO,0.768011,0.448229,0.4403936167446781,0.7619211513116214,-0.007835383255321904,-0.006089848688378585,1.208404616744678,1.2101501513116215,-0.0017455345669434852,0.0017455345669434852
MET-L05,Diagonal San Bdo - La Dehesa,MET-L06,Diagonal Norte - Sur,0.633937,0.571155,0.5267559213586798,0.5879636824798576,-0.0443990786413202,-0.04597331752014233,1.1606929213586796,1.1591186824798576,0.0015742388788220207,0.0015742388788220207
MET-L05,Diagonal San Bdo - La Dehesa,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.633937,0.382805,0.38305682766040866,0.6356431901005583,0.00025182766040865445,0.0017061901005582802,1.0169938276604087,1.0184481901005582,-0.0014543624401495148,0.0014543624401495148
I14,LO OVALLE,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.399958,0.382805,0.36135094462836825,0.3770650537598139,-0.021454055371631753,-0.022892946240186063,0.7613089446283683,0.759870053759814,0.00143889086855431,0.00143889086855431
MET-L05,Diagonal San Bdo - La Dehesa,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.633937,0.418101,0.4316400847957325,0.6488398654684068,0.013539084795732514,0.0149028654684068,1.0655770847957324,1.0669408654684067,-0.0013637806726742863,0.0013637806726742863
MET-L08,Central,I14,LO OVALLE,0.51574,0.399958,0.38520151039743306,0.49979925565370587,-0.014756489602566925,-0.01594074434629411,0.900941510397433,0.8997572556537059,0.0011842547437270756,0.0011842547437270756
I11,JOSE JOAQUIN PEREZ,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.402583,0.382805,0.3842665465983219,0.405081812515486,0.0014615465983218723,0.0024988125154859486,0.7868495465983218,0.787886812515486,-0.0010372659171641319,0.0010372659171641319
MET-L01,Rinconada - Santuario,MET-L09,Rinconada Maipú - Cajon del Maipo,0.591949,0.478703,0.5777185943199941,0.6919394386353782,0.09901559431999407,0.09999043863537826,1.1696675943199941,1.1706424386353782,-0.0009748443153840824,0.0009748443153840824
MET-L06,Diagonal Norte - Sur,I11,JOSE JOAQUIN PEREZ,0.571155,0.402583,0.4032564864022464,0.5726927095720237,0.0006734864022463483,0.0015377095720237044,0.9744114864022464,0.9752757095720237,-0.0008642231697773006,0.0008642231697773006
MET-L06,Diagonal Norte - Sur,I26,SAN PABLO,0.571155,0.448229,0.4450359914133444,0.568798110559185,-0.00319300858665561,-0.0023568894408149133,1.0161909914133442,1.017027110559185,-0.0008361191458408079,0.0008361191458408079
MET-L05,Diagonal San Bdo - La Dehesa,MET-L02,Mapocho,0.633937,0.512509,0.5162549961127961,0.63737222352233,0.003745996112796135,0.0034352235223300553,1.1501919961127962,1.1498812235223301,0.00031077259046607963,0.00031077259046607963
MET-L05,Diagonal San Bdo - La Dehesa,I11,JOSE JOAQUIN PEREZ,0.633937,0.402583,0.4062463236696366,0.6372895993795554,0.0036633236696365645,0.0033525993795554543,1.0401833236696365,1.0398725993795555,0.00031072429008105473,0.00031072429008105473
I14,LO OVALLE,I30,WALKER - HUALLE - AGUIRRE,0.399958,0.366998,0.3714970022826894,0.4041735939331217,0.004499002282689402,0.0042155939331217085,0.7714550022826894,0.7711715939331216,0.00028340834956774863,0.00028340834956774863
MET-L06,Diagonal Norte - Sur,MET-L09,Rinconada Maipú - Cajon del Maipo,0.571155,0.478703,0.5399011900825237,0.6326346486610191,0.061198190082523696,0.06147964866101918,1.1110561900825235,1.1113376486610191,-0.00028145857849559697,0.00028145857849559697
MET-L06,Diagonal Norte - Sur,I01,BARÓN DE JURAS REALES,0.571155,0.379776,0.38000168975396637,0.5716371930413057,0.0002256897539663627,0.00048219304130570073,0.9511566897539663,0.9514131930413057,-0.00025650328733939354,0.00025650328733939354
MET-L02,Mapocho,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.512509,0.382805,0.3894096942354705,0.5189475768167628,0.0066046942354704985,0.006438576816762853,0.9019186942354704,0.9017525768167629,0.00016611741870753427,0.00016611741870753427
MET-L03,Norte - Sur,I11,JOSE JOAQUIN PEREZ,0.718422,0.402583,0.4025833200066329,0.7183590305866625,3.2000663285902675e-7,-0.00006296941333749917,1.121005320006633,1.1209420305866624,0.00006328941997058024,0.00006328941997058024
MET-L03,Norte - Sur,I26,SAN PABLO,0.718422,0.448229,0.44822917686789615,0.7183590305866625,1.7686789616222498e-7,-0.00006296941333749917,1.1666511768678962,1.1665880305866625,0.0000631462812337169,0.0000631462812337169
MET-L07,Diagonal Padre Hurtado - Vitacura,I11,JOSE JOAQUIN PEREZ,0.569592,0.402583,0.39892031634362923,0.5659286230760465,-0.003662683656370791,-0.0036633769239534653,0.9685123163436292,0.9685116230760465,6.932675826742951e-7,6.932675826742951e-7
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,I30,WALKER - HUALLE - AGUIRRE,0.382805,0.366998,0.3669984617404216,0.38280482824427586,4.6174042162006046e-7,-1.7175572414318552e-7,0.7498034617404217,0.7498028282442759,6.33496145763246e-7,6.33496145763246e-7
MET-L01,Rinconada - Santuario,I22,PEDRO FONTOVA,0.591949,0.372226,0.37222649178247563,0.591948899720338,4.917824756311973e-7,-1.0027966190762072e-7,0.9641754917824756,0.9641748997203381,5.92062137538818e-7,5.92062137538818e-7
I22,PEDRO FONTOVA,C068,SAN CARLOS,0.372226,0.360859,0.3608589378484915,0.37222649178247563,-6.21515084953117e-8,4.917824756311973e-7,0.7330849378484915,0.7330854917824756,-5.53933984126509e-7,5.53933984126509e-7
MET-L07,Diagonal Padre Hurtado - Vitacura,I26,SAN PABLO,0.569592,0.448229,0.4445661732048925,0.5659286230760465,-0.0036628267951074878,-0.0036633769239534653,1.0141581732048925,1.0141576230760465,5.501288460330045e-7,5.501288460330045e-7
MET-L06,Diagonal Norte - Sur,I22,PEDRO FONTOVA,0.571155,0.372226,0.37222649178247563,0.5711549782331566,4.917824756311973e-7,-2.176684332777512e-8,0.9433814917824757,0.9433809782331566,5.135493190699947e-7,5.135493190699947e-7
C066,CUATRO PONIENTE,I22,PEDRO FONTOVA,0.419639,0.372226,0.37222649178247563,0.41963901647693164,4.917824756311973e-7,1.6476931652409377e-8,0.7918654917824757,0.7918650164769316,4.7530554403429903e-7,4.7530554403429903e-7
MET-L07,Diagonal Padre Hurtado - Vitacura,I16,MATTA-VESPUCIO NORTE,0.569592,0.404011,0.4040110951205431,0.5695916267390503,9.512054310878426e-8,-3.7326094970424606e-7,0.9736030951205431,0.9736026267390503,4.683814928130303e-7,4.683814928130303e-7
C066,CUATRO PONIENTE,I30,WALKER - HUALLE - AGUIRRE,0.419639,0.366998,0.3669984617404216,0.41963901647693164,4.6174042162006046e-7,1.6476931652409377e-8,0.7866374617404216,0.7866370164769316,4.452634899676511e-7,4.452634899676511e-7
MET-L02,Mapocho,C068,SAN CARLOS,0.512509,0.360859,0.3608589378484915,0.512509368307018,-6.21515084953117e-8,3.68307017994951e-7,0.8733679378484915,0.8733683683070179,-4.304585263792404e-7,4.304585263792404e-7
MET-L02,Mapocho,I01,BARÓN DE JURAS REALES,0.512509,0.379776,0.37977596927116425,0.512509368307018,-3.072883575372387e-8,3.68307017994951e-7,0.8922849692711643,0.892285368307018,-3.9903585369316374e-7,3.9903585369316374e-7
I14,LO OVALLE,C068,SAN CARLOS,0.399958,0.360859,0.3608589378484915,0.39995832967740885,-6.21515084953117e-8,3.296774088723531e-7,0.7608169378484915,0.7608173296774088,-3.9182891731215364e-7,3.9182891731215364e-7
I11,JOSE JOAQUIN PEREZ,C068,SAN CARLOS,0.402583,0.360859,0.3608589378484915,0.4025833200066329,-6.21515084953117e-8,3.2000663285902675e-7,0.7634419378484916,0.7634423200066329,-3.8215814135433845e-7,3.8215814135433845e-7
I16,MATTA-VESPUCIO NORTE,I30,WALKER - HUALLE - AGUIRRE,0.404011,0.366998,0.3669984617404216,0.4040110951205431,4.6174042162006046e-7,9.512054310878426e-8,0.7710094617404216,0.771009095120543,3.6661987856678735e-7,3.6661987856678735e-7
I14,LO OVALLE,I01,BARÓN DE JURAS REALES,0.399958,0.379776,0.37977596927116425,0.39995832967740885,-3.072883575372387e-8,3.296774088723531e-7,0.7797339692711642,0.7797343296774089,-3.6040624462607695e-7,3.6040624462607695e-7
MET-L08,Central,C068,SAN CARLOS,0.51574,0.360859,0.3608589378484915,0.5157402908130178,-6.21515084953117e-8,2.908130177781132e-7,0.8765989378484915,0.8765992908130178,-3.529645262734249e-7,3.529645262734249e-7
MET-L02,Mapocho,C066,CUATRO PONIENTE,0.512509,0.419639,0.41963901647693164,0.512509368307018,1.6476931652409377e-8,3.68307017994951e-7,0.9321480164769316,0.932148368307018,-3.518300863980528e-7,3.518300863980528e-7
I11,JOSE JOAQUIN PEREZ,I01,BARÓN DE JURAS REALES,0.402583,0.379776,0.37977596927116425,0.4025833200066329,-3.072883575372387e-8,3.2000663285902675e-7,0.7823589692711643,0.7823593200066329,-3.5073546855723947e-7,3.5073546855723947e-7
MET-L07,Diagonal Padre Hurtado - Vitacura,I01,BARÓN DE JURAS REALES,0.569592,0.379776,0.37977596927116425,0.5695916267390503,-3.072883575372387e-8,-3.7326094970424606e-7,0.9493679692711643,0.9493676267390503,3.4253211400603334e-7,3.4253211400603334e-7
C066,CUATRO PONIENTE,I14,LO OVALLE,0.419639,0.399958,0.39995832967740885,0.41963901647693164,3.296774088723531e-7,1.6476931652409377e-8,0.8195973296774088,0.8195970164769316,3.132004772199437e-7,3.132004772199437e-7
MET-L07,Diagonal Padre Hurtado - Vitacura,C068,SAN CARLOS,0.569592,0.360859,0.3608589378484915,0.5695916267390503,-6.21515084953117e-8,-3.7326094970424606e-7,0.9304509378484915,0.9304506267390502,3.1110944131995666e-7,3.1110944131995666e-7
C066,CUATRO PONIENTE,I11,JOSE JOAQUIN PEREZ,0.419639,0.402583,0.4025833200066329,0.41963901647693164,3.2000663285902675e-7,1.6476931652409377e-8,0.8222223200066329,0.8222220164769316,3.035297012621285e-7,3.035297012621285e-7
MET-L09,Rinconada Maipú - Cajon del Maipo,I14,LO OVALLE,0.478703,0.399958,0.39995832967740885,0.47870302688156474,3.296774088723531e-7,2.688156475194603e-8,0.8786613296774088,0.8786610268815647,3.027958441759182e-7,3.027958441759182e-7
MET-L02,Mapocho,I16,MATTA-VESPUCIO NORTE,0.512509,0.404011,0.4040110951205431,0.512509368307018,9.512054310878426e-8,3.68307017994951e-7,0.9165200951205431,0.916520368307018,-2.7318647488616676e-7,2.7318647488616676e-7
I16,MATTA-VESPUCIO NORTE,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.404011,0.382805,0.38280482824427586,0.4040110951205431,-1.7175572414318552e-7,9.512054310878426e-8,0.7868158282442759,0.7868160951205432,-2.6687626730748093e-7,2.6687626730748093e-7
MET-L08,Central,MET-L09,Rinconada Maipú - Cajon del Maipo,0.51574,0.478703,0.47870302688156474,0.5157402908130178,2.688156475194603e-8,2.908130177781132e-7,0.9944430268815647,0.9944432908130177,-2.6393145302616716e-7,2.6393145302616716e-7
I26,SAN PABLO,C068,SAN CARLOS,0.448229,0.360859,0.3608589378484915,0.44822917686789615,-6.21515084953117e-8,1.7686789616222498e-7,0.8090879378484914,0.8090881768678961,-2.3901940471304783e-7,2.3901940471304783e-7
I16,MATTA-VESPUCIO NORTE,I14,LO OVALLE,0.404011,0.399958,0.39995832967740885,0.4040110951205431,3.296774088723531e-7,9.512054310878426e-8,0.8039693296774089,0.8039690951205432,2.3455686570805767e-7,2.3455686570805767e-7
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C068,SAN CARLOS,0.418101,0.360859,0.3608589378484915,0.41810116801331243,-6.21515084953117e-8,1.6801331242932704e-7,0.7789599378484915,0.7789601680133125,-2.301648209801499e-7,2.301648209801499e-7
I16,MATTA-VESPUCIO NORTE,I11,JOSE JOAQUIN PEREZ,0.404011,0.402583,0.4025833200066329,0.4040110951205431,3.2000663285902675e-7,9.512054310878426e-8,0.8065943200066329,0.8065940951205431,2.248860897502425e-7,2.248860897502425e-7
MET-L04,Radial,C068,SAN CARLOS,0.768011,0.360859,0.3608589378484915,0.7680107349117755,-6.21515084953117e-8,-2.650882244825681e-7,1.1288699378484914,1.1288697349117756,2.0293671587623408e-7,2.0293671587623408e-7
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I01,BARÓN DE JURAS REALES,0.418101,0.379776,0.37977596927116425,0.41810116801331243,-3.072883575372387e-8,1.6801331242932704e-7,0.7978769692711642,0.7978771680133124,-1.9874214818305092e-7,1.9874214818305092e-7
MET-L09,Rinconada Maipú - Cajon del Maipo,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.478703,0.382805,0.38280482824427586,0.47870302688156474,-1.7175572414318552e-7,2.688156475194603e-8,0.8615078282442759,0.8615080268815647,-1.986372888396204e-7,1.986372888396204e-7
MET-L08,Central,I16,MATTA-VESPUCIO NORTE,0.51574,0.404011,0.4040110951205431,0.5157402908130178,9.512054310878426e-8,2.908130177781132e-7,0.9197510951205431,0.9197512908130178,-1.9569247466932893e-7,1.9569247466932893e-7
MET-L01,Rinconada - Santuario,I16,MATTA-VESPUCIO NORTE,0.591949,0.404011,0.4040110951205431,0.591948899720338,9.512054310878426e-8,-1.0027966190762072e-7,0.9959600951205431,0.995959899720338,1.9540020501640498e-7,1.9540020501640498e-7
I11,JOSE JOAQUIN PEREZ,I22,PEDRO FONTOVA,0.402583,0.372226,0.37222649178247563,0.4025833200066329,4.917824756311973e-7,3.2000663285902675e-7,0.7748094917824757,0.7748093200066328,1.717758428831928e-7,1.717758428831928e-7
I14,LO OVALLE,I22,PEDRO FONTOVA,0.399958,0.372226,0.37222649178247563,0.39995832967740885,4.917824756311973e-7,3.296774088723531e-7,0.7721844917824756,0.7721843296774089,1.6210506670333302e-7,1.6210506670333302e-7
I26,SAN PABLO,C066,CUATRO PONIENTE,0.448229,0.419639,0.41963901647693164,0.44822917686789615,1.6476931652409377e-8,1.7686789616222498e-7,0.8678680164769317,0.8678681768678962,-1.603909645098156e-7,1.603909645098156e-7
I16,MATTA-VESPUCIO NORTE,C068,SAN CARLOS,0.404011,0.360859,0.3608589378484915,0.4040110951205431,-6.21515084953117e-8,9.512054310878426e-8,0.7648699378484916,0.7648700951205432,-1.5727205160409596e-7,1.5727205160409596e-7
C066,CUATRO PONIENTE,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.419639,0.418101,0.41810116801331243,0.41963901647693164,1.6801331242932704e-7,1.6476931652409377e-8,0.8377401680133124,0.8377400164769316,1.5153638077691767e-7,1.5153638077691767e-7
MET-L02,Mapocho,I22,PEDRO FONTOVA,0.512509,0.372226,0.37222649178247563,0.512509368307018,4.917824756311973e-7,3.68307017994951e-7,0.8847354917824757,0.884735368307018,1.2347545763624623e-7,1.2347545763624623e-7
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,C068,SAN CARLOS,0.382805,0.360859,0.3608589378484915,0.38280482824427586,-6.21515084953117e-8,-1.7175572414318552e-7,0.7436639378484915,0.7436638282442758,1.0960421570338497e-7,1.0960421570338497e-7
I26,SAN PABLO,I16,MATTA-VESPUCIO NORTE,0.448229,0.404011,0.4040110951205431,0.44822917686789615,9.512054310878426e-8,1.7686789616222498e-7,0.8522400951205431,0.8522401768678962,-8.174735310895187e-8,8.174735310895187e-8
C066,CUATRO PONIENTE,I16,MATTA-VESPUCIO NORTE,0.419639,0.404011,0.4040110951205431,0.41963901647693164,9.512054310878426e-8,1.6476931652409377e-8,0.8236500951205431,0.8236500164769316,7.864361151188604e-8,7.864361151188604e-8
C066,CUATRO PONIENTE,C068,SAN CARLOS,0.419639,0.360859,0.3608589378484915,0.41963901647693164,-6.21515084953117e-8,1.6476931652409377e-8,0.7804979378484915,0.7804980164769316,-7.862844009220993e-8,7.862844009220993e-8
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I16,MATTA-VESPUCIO NORTE,0.418101,0.404011,0.4040110951205431,0.41810116801331243,9.512054310878426e-8,1.6801331242932704e-7,0.8221120951205432,0.8221121680133124,-7.289276926503163e-8,7.289276926503163e-8
MET-L01,Rinconada - Santuario,I01,BARÓN DE JURAS REALES,0.591949,0.379776,0.37977596927116425,0.591948899720338,-3.072883575372387e-8,-1.0027966190762072e-7,0.9717249692711643,0.971724899720338,6.9550826209408e-8,6.9550826209408e-8
C066,CUATRO PONIENTE,I01,BARÓN DE JURAS REALES,0.419639,0.379776,0.37977596927116425,0.41963901647693164,-3.072883575372387e-8,1.6476931652409377e-8,0.7994149692711643,0.7994150164769316,-4.7205767295110945e-8,4.7205767295110945e-8
MET-L06,Diagonal Norte - Sur,C066,CUATRO PONIENTE,0.571155,0.419639,0.41963901647693164,0.5711549782331566,1.6476931652409377e-8,-2.176684332777512e-8,0.9907940164769315,0.9907939782331566,3.8243774924673346e-8,3.8243774924673346e-8
MET-L01,Rinconada - Santuario,C068,SAN CARLOS,0.591949,0.360859,0.3608589378484915,0.591948899720338,-6.21515084953117e-8,-1.0027966190762072e-7,0.9528079378484915,0.952807899720338,3.812815352333132e-8,3.812815352333132e-8
I01,BARÓN DE JURAS REALES,C068,SAN CARLOS,0.379776,0.360859,0.3608589378484915,0.37977596927116425,-6.21515084953117e-8,-3.072883575372387e-8,0.7406349378484915,0.7406349692711642,-3.142267268607668e-8,3.142267268607668e-8
I22,PEDRO FONTOVA,I30,WALKER - HUALLE - AGUIRRE,0.372226,0.366998,0.3669984617404216,0.37222649178247563,4.6174042162006046e-7,4.917824756311973e-7,0.7392244617404216,0.7392244917824756,-3.004205406664795e-8,3.004205406664795e-8
