id,frecuencia,apariciones,escenarios
I16,1,16,16
I26,1,16,16
MET-L01,1,16,16
MET-L02,1,16,16
MET-L03,1,16,16
MET-L04,1,16,16
MET-L05,1,16,16
MET-L06,1,16,16
MET-L07,1,16,16
MET-L09,1,16,16
