k,jaccard_top_k,spearman_rank,kendall_tau,desplazamiento_medio,desplazamiento_maximo,coincidencias_top_k
5,0.6666666666666666,0.9,0.8,1,3,4
10,0.8181818181818182,0.6242424242424243,0.5555555555555556,2,7,9
15,0.6666666666666666,0.7321428571428571,0.6,5.533333333333333,40,12
20,0.6666666666666666,0.7834586466165413,0.6210526315789474,9.35,69,16
30,0.5,0.7583982202447164,0.5586206896551724,13.666666666666666,69,20
