id,frecuencia,apariciones,escenarios
I16,1,6,6
I26,1,6,6
MET-L01,1,6,6
MET-L02,1,6,6
MET-L03,1,6,6
MET-L04,1,6,6
MET-L05,1,6,6
MET-L06,1,6,6
MET-L07,1,6,6
MET-L09,1,6,6
