k,jaccard_top_k,spearman_rank,kendall_tau,desplazamiento_medio,desplazamiento_maximo,coincidencias_top_k
5,0.6666666666666666,0.9,0.8,1,3,4
10,0.8181818181818182,0.696969696969697,0.6,1.8,6,9
15,0.6666666666666666,0.7928571428571428,0.6571428571428571,3.466666666666667,10,12
20,0.6666666666666666,0.8345864661654135,0.6842105263157895,9.35,69,16
30,0.4634146341463415,0.8135706340378198,0.6413793103448275,17.633333333333333,96,19
