scenario,scenario_label,steps,final_cost_mclp,final_components,mean_components,integrated_component_reduction,cumulative_population,cumulative_demand,cumulative_cyclists,cumulative_own_score,cumulative_own_score_discounted,cumulative_eval_rmc,cumulative_eval_balanceado,cumulative_eval_logit
ponderacion_rmc,RMC,124,43887,107,112.88709677419355,3610,600177,871511,7718,44.654900100859884,10.016403224746059,44.654900100859884,38.99463445970978,35.50320934461666
balanceado,Balanceado,124,43887,107,111.88709677419355,3734,600177,871511,7717,39.27805976822661,9.656936903392575,44.9155767636713,39.27805976822661,35.698346986597464
logit,Logit (Biogeme),124,43887,107,112.91129032258064,3607,600177,871510,7721,35.36993568301383,9.355579644739572,44.554807090367404,38.7959415643727,35.36993568301383
