rank,id,nombre,escala,score,costo_mclp
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.6632466132986395,1192
2,I26,SAN PABLO,Intercomunal,0.6144144508647507,883
3,I14,LO OVALLE,Intercomunal,0.6104879829488095,1374
4,C066,CUATRO PONIENTE,Comunal,0.5773870627172858,676
5,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.5568901634520315,341
6,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5502072458808959,990
7,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5320086965515451,800
8,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5319677891973138,690
9,C068,SAN CARLOS,Comunal,0.500278693173342,587
10,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.47744413543222747,1031
11,C006,DOMINGO TOCORNAL,Comunal,0.4710150004827107,439
12,I01,BARÓN DE JURAS REALES,Intercomunal,0.447984902959432,781
13,EP-I10,GRAN AVENIDA,Intercomunal,0.44566611016613655,913
14,I08,GENERAL OSCAR BONILLA,Intercomunal,0.4429885183235589,595
15,I22,PEDRO FONTOVA,Intercomunal,0.4385252146090737,688
16,EP-I34,VICUÑA MACKENNA,Intercomunal,0.4368055224633501,539
17,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.43350905101279563,644
18,I15,MARTINEZ DE ROZAS,Intercomunal,0.42641558266848545,640
19,I10,GRAN AVENIDA,Intercomunal,0.40042022675202404,448
20,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.39924139581601786,1435
21,C029,MARIA ELENA,Comunal,0.3953657241424081,270
22,C003,CONCHA Y TORO,Comunal,0.3929049875215115,245
23,I21,PEDRO DE VALDIVIA,Intercomunal,0.3865997842441647,474
24,I02,CARLOS VALDOVINOS,Intercomunal,0.3849797966707047,687
25,C050,MAR DE DRAKE,Comunal,0.38275439842006137,177
26,I04,DEL FERROCARRIL,Intercomunal,0.3782924363041671,652
27,C060,ROJAS MAGALLANES,Comunal,0.3776735368487652,395
28,I07,EL GUANACO,Intercomunal,0.3763020807158513,443
29,I29,SANTA ROSA,Intercomunal,0.3737788006881356,710
30,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.3695379486581836,220
31,I09,GENERAL VELASQUEZ,Intercomunal,0.36683264488663614,643
32,I24,RADAL,Intercomunal,0.3664124492957662,509
33,C086,LA ESTRELLA,Comunal,0.35609673471698194,185
34,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.35403046213198464,259
35,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.3519075845820016,341
36,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.350168672754678,644
37,C043,NEPTUNO,Comunal,0.34482230260779995,172
38,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.34460727476809627,246
39,C053,CONDELL,Comunal,0.3401854673675568,280
40,C023,AVENIDA DORSAL,Comunal,0.3374083487470848,308
41,C061,EL PINAR,Comunal,0.3370658419392852,222
42,EP-I33,LA CHIMBA,Intercomunal,0.3370005822925432,971
43,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.3348039976407146,336
44,I06,DIAGONAL ORIENTE,Intercomunal,0.32841742491310844,1138
45,C078,WALDO TAFF,Comunal,0.3165639875095479,157
46,I25,SAN FRANCISCO,Intercomunal,0.3126262994972617,1001
47,C041,VISTA HERMOSA,Comunal,0.3071632357036571,114
48,C032,OBISPO MANUEL UMAÑA,Comunal,0.3071018676187075,251
49,C044,LOS CERRILLOS,Comunal,0.29716566032400754,196
50,I13,LO ESPEJO-RIQUELME,Intercomunal,0.29311724749452617,700
51,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.28334555586771565,332
52,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.281916818643966,332
53,C014,JOSE DOMINGO CAÑAS,Comunal,0.2816729129361582,259
54,C001,SAN EUGENIO,Comunal,0.2806709474590377,114
55,C087,SALVADOR GUTIERREZ,Comunal,0.2779313436330033,81
56,I17,MATUCANA,Intercomunal,0.27191447280983744,287
57,I28,SANTA RAQUEL,Intercomunal,0.2661192761444829,300
58,C022,LLANURA  - EL DESIERTO,Comunal,0.2634709012598797,122
59,C007,EDUARDO CASTILLO VELASCO,Comunal,0.26310309294060424,409
60,C090,SANTO DOMINGO,Comunal,0.26238610957098746,150
61,C083,ORIENTAL-LAS PARCELAS,Comunal,0.2610060417352075,392
62,C074,URETA COX,Comunal,0.2575304783253384,161
63,I18,NUEVA IMPERIAL,Intercomunal,0.2569392089761469,290
64,C035,PRODIVENCIA,Comunal,0.2549901884596126,33
65,C063,LONGITUDINAL,Comunal,0.25435700088086893,192
66,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.2537426151555205,361
67,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.2514382009730354,545
68,C015,JOSE MANUEL GUZMAN,Comunal,0.2500406657786039,202
69,C088,ÑUBLE,Comunal,0.2475581721816966,207
70,C065,NUEVA SAN MARTIN,Comunal,0.24686312631142657,179
71,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.24587884507787938,146
72,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.24435581323837233,259
73,I31,FERNANDEZ ALBANO,Intercomunal,0.24388860991454317,238
74,C037,SAN ALFONSO,Comunal,0.24289974460612965,201
75,C046,EUCALIPTOS,Comunal,0.24113559520404937,206
76,C028,MADRID,Comunal,0.24081265623491752,129
77,C030,MAULE,Comunal,0.24053221625127638,185
78,C034,PEDRO LEON UGALDE,Comunal,0.2404822156016317,130
79,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.23984384780840462,144
80,C089,J J PEREZ,Comunal,0.23952873473445788,198
81,C042,PRINCIPE DE GALES,Comunal,0.2384160652407623,190
82,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.23297744089940944,168
83,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.23263012206973174,49
84,C062,CORONA SUECA,Comunal,0.23245607571136848,280
85,C011,EYZAGUIRRE,Comunal,0.23109629198712694,284
86,C013,HEROES DE LA CONCEPCION,Comunal,0.23046310192603195,87
87,C027,LOS PRESIDENTES,Comunal,0.2299576932154991,254
88,C009,EL ROSAL - SANTA ELENA,Comunal,0.22865750139735808,169
89,C047,VIOLETA PARRA,Comunal,0.22809315163667623,240
90,C033,OBSERVATORIO,Comunal,0.22766887445932235,207
91,I32,EINSTEIN,Intercomunal,0.22723070590754615,366
92,C076,ISLA DECEPCION,Comunal,0.22696979123575844,97
93,C012,GABRIELA ORIENTE,Comunal,0.22458957307517327,134
94,C069,LOS OLMOS,Comunal,0.224104102084041,167
95,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.2233965440783006,162
96,C017,LA PARINACOTA,Comunal,0.2224520024539758,465
97,I03,CARRASCAL,Intercomunal,0.2220398694244814,442
98,C048,GENERAL ARRIAGADA,Comunal,0.22098639410553336,148
99,C054,VICTORIA,Comunal,0.21579529399440658,249
100,C026,LOS MAITENES,Comunal,0.21505172004956516,150
101,C082,CAUPOLICAN,Comunal,0.21345357477037744,118
102,C071,BARROS ARANA,Comunal,0.21314745550456518,177
103,C004,CONSISTORIAL,Comunal,0.2121949087374534,563
104,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.2110522251616834,90
105,C031,NECOCHEA,Comunal,0.21065314913545816,56
106,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.20645876472841027,45
107,C080,PARAGUAY,Comunal,0.20406182901032083,273
108,C056,TEMUCO - TORO MAZOTTE,Comunal,0.20230451172299221,186
109,C077,RICARDO VIAL,Comunal,0.20068845061073526,54
110,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.19539105200690043,235
111,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.19515348900616028,137
112,C079,LAS AMERICAS,Comunal,0.19030254126701812,137
113,C085,LOS LIBERTADORES,Comunal,0.18935409427427272,177
114,C072,COVADONGA,Comunal,0.18918426318608839,143
115,C039,TUPUNGATO,Comunal,0.18851379027742082,63
116,C008,EL CERRO,Comunal,0.18824336270628994,206
117,C084,EL PINO - UNO SUR,Comunal,0.18732955323192435,166
118,C055,ARTURO PRAT,Comunal,0.17847098580505624,101
119,C021,LAUTARO,Comunal,0.1673928504336534,342
120,C073,LOS MORROS,Comunal,0.1655175086873455,335
121,C045,PORTO ALEGRE,Comunal,0.1628157262301424,125
122,C018,LA PRIMAVERA,Comunal,0.14736955371216562,183
123,C025,LOS DURAZNOS,Comunal,0.14071585938320208,128
124,C016,JUANITA,Comunal,0.1357778199575531,123
