scenario_a,scenario_b,common_projects,spearman_full,kendall_full,mean_abs_displacement,max_abs_displacement,first_divergence_step,jaccard_top_10,jaccard_top_20,jaccard_top_30,jaccard_top_50,jaccard_top_75,jaccard_top_100,jaccard_top_124
ponderacion_rmc_static_G0,ponderacion_rmc_sequential,124,0.7086577498033045,0.5339627589824285,20.612903225806452,74,2,0.5384615384615384,0.5384615384615384,0.4634146341463415,0.5873015873015873,0.6129032258064516,0.7699115044247787,1
balanceado_static_G0,balanceado_sequential,124,0.740859166011015,0.5596643063204826,19,70,2,0.5384615384615384,0.6,0.4634146341463415,0.5625,0.7045454545454546,0.7857142857142857,1
logit_static_G0,logit_sequential,124,0.863477576711251,0.6897456071334906,13.387096774193548,58,2,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.6949152542372882,0.7647058823529411,0.8691588785046729,1
