k,id,nombre,appearances,frequency,in_rmc,in_balanceado,in_logit
50,I28,SANTA RAQUEL,3,1,true,true,true
50,I29,SANTA ROSA,3,1,true,true,true
50,I30,WALKER - HUALLE - AGUIRRE,3,1,true,true,true
50,C035,PRODIVENCIA,2,0.6666666666666666,true,true,false
50,C003,CONCHA Y TORO,1,0.3333333333333333,false,true,false
50,C010,ESQ BLANCA - ALBERTO LLONA,1,0.3333333333333333,false,true,false
50,C043,NEPTUNO,1,0.3333333333333333,true,false,false
50,C047,VIOLETA PARRA,1,0.3333333333333333,false,false,true
50,C058,ANTONIO EBNER-BARROS ARANA,1,0.3333333333333333,false,false,true
50,C082,CAUPOLICAN,1,0.3333333333333333,true,false,false
50,C083,ORIENTAL-LAS PARCELAS,1,0.3333333333333333,false,false,true
50,C085,LOS LIBERTADORES,1,0.3333333333333333,false,true,false
50,C090,SANTO DOMINGO,1,0.3333333333333333,true,false,false
50,I07,EL GUANACO,1,0.3333333333333333,false,false,true
