scenario,scenario_label,step,id,nombre,escala,initial_rank,current_rank_before_build,own_score,initial_own_score,delta_own_score_vs_G0,score_eval_rmc,score_eval_balanceado,score_eval_logit,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists,cum_own_score,cum_own_score_discounted,cum_eval_rmc,cum_eval_balanceado,cum_eval_logit
balanceado,Balanceado,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,1,0.6632466132986395,0.6632466132986395,0,0.6686769070660649,0.6632466132986395,0.7150180885082573,44459,550242,58232,217,3,140,1192,1192,44459,58232,217,0.6632466132986395,0.6632466132986395,0.6686769070660649,0.6632466132986395,0.7150180885082573
balanceado,Balanceado,2,C066,CUATRO PONIENTE,Comunal,4,1,0.5773870627172858,0.5773870627172858,0,0.572487990377622,0.5773870627172858,0.51907901501457,49812,126728,29943,101,1,140,676,1868,94271,88175,318,1.2406336760159253,1.211764322880061,1.2411648974436869,1.2406336760159253,1.2340971035228274
balanceado,Balanceado,3,I26,SAN PABLO,Intercomunal,2,1,0.5639825636469636,0.6144144508647507,-0.05043188721778702,0.5863061971581027,0.5639825636469636,0.5580785407588081,33063,89662,24215,154,2,139,883,2751,127334,112390,472,1.8046162396628889,1.7207585865714456,1.8274710946017896,1.8046162396628889,1.7921756442816354
balanceado,Balanceado,4,I11,JOSE JOAQUIN PEREZ,Intercomunal,8,1,0.5575870061624664,0.5319677891973138,0.02561921696515257,0.6007075437890453,0.5575870061624664,0.5329090353964384,28111,1128669,53252,107,1,139,690,3441,155445,165642,579,2.3622032458253552,2.19881974597999,2.428178638390835,2.3622032458253552,2.3250846796780738
balanceado,Balanceado,5,I16,MATTA-VESPUCIO NORTE,Intercomunal,6,1,0.5502072458808959,0.5502072458808959,0,0.5227107068074346,0.5502072458808959,0.5234634421223687,34088,84165,18290,126,3,137,990,4431,189533,183932,705,2.912410491706251,2.6469669865452663,2.950889345198269,2.912410491706251,2.8485481218004427
balanceado,Balanceado,6,I22,PEDRO FONTOVA,Intercomunal,15,1,0.6358375694312588,0.4385252146090737,0.19731235482218512,0.6302999819086442,0.6358375694312588,0.5846669809698982,16446,1185713,79843,72,3,135,688,5119,205979,263775,777,3.5482480611375102,3.1389659771175067,3.5811893271069133,3.5482480611375102,3.433215102770341
balanceado,Balanceado,7,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,7,1,0.5711097257051089,0.5320086965515451,0.03910102915356373,0.6157496328775517,0.5711097257051089,0.5227266127074964,28110,292020,36471,108,2,134,800,5919,234089,300246,885,4.119357786842619,3.5587841051404,4.196938959984465,4.119357786842619,3.955941715477837
balanceado,Balanceado,8,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,52,1,0.5933348790706826,0.281916818643966,0.3114180604267166,0.567570327558796,0.5933348790706826,0.5439276365500836,4301,335823,85198,62,4,131,332,6251,238390,385444,947,4.712692665913302,3.9731319802687324,4.764509287543261,4.712692665913302,4.499869352027921
balanceado,Balanceado,9,C068,SAN CARLOS,Comunal,9,1,0.5909865190380025,0.500278693173342,0.09070782586466053,0.5510480914924809,0.5909865190380025,0.536052447850535,35574,407794,74172,67,3,129,587,6838,273964,459616,1014,5.303679184951305,4.365204511614945,5.3155573790357415,5.303679184951305,5.035921799878456
balanceado,Balanceado,10,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,20,1,0.5479126643297912,0.39924139581601786,0.14867126851377338,0.5617438522419366,0.5479126643297912,0.5544580745346462,9981,470981,43806,147,3,127,1435,8273,283945,503422,1161,5.851591849281096,4.710526144889434,5.877301231277678,5.851591849281096,5.590379874413102
balanceado,Balanceado,11,I14,LO OVALLE,Intercomunal,3,1,0.5759170752692402,0.6104879829488095,-0.034570907679569274,0.6096188053602134,0.5759170752692402,0.6290186575970359,45894,192584,29134,231,1,127,1374,9647,329839,532556,1392,6.427508924550336,5.0553489717912585,6.486920036637891,6.427508924550336,6.219398532010138
balanceado,Balanceado,12,I04,DEL FERROCARRIL,Intercomunal,26,1,0.5416348460942249,0.3782924363041671,0.16334240979005776,0.5486895869998007,0.5416348460942249,0.4854232473551669,6753,372165,63476,59,3,125,652,10299,336592,596032,1451,6.969143770644561,5.363430922229799,7.035609623637692,6.969143770644561,6.704821779365305
balanceado,Balanceado,13,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,5,1,0.5217562837929542,0.5568901634520315,-0.035133879659077216,0.5337708082175328,0.5217562837929542,0.5384919715941694,0,64354,33578,156,3,123,341,10640,336592,629610,1607,7.490900054437516,5.645367193478692,7.569380431855224,7.490900054437516,7.243313750959474
balanceado,Balanceado,14,I21,PEDRO DE VALDIVIA,Intercomunal,23,1,0.5199361330261241,0.3865997842441647,0.13333634878195938,0.5471329269059543,0.5199361330261241,0.46136541040223167,14501,740377,25388,75,1,123,474,11114,351093,654998,1682,8.01083618746364,5.9122722911786125,8.116513358761178,8.01083618746364,7.704679161361706
balanceado,Balanceado,15,EP-I10,GRAN AVENIDA,Intercomunal,13,1,0.5114821086495734,0.44566611016613655,0.06581599848343689,0.522812991942405,0.5114821086495734,0.4833161551707465,16187,21396,11712,124,2,122,913,12027,367280,666710,1806,8.522318296113214,6.16170931783226,8.639326350703584,8.522318296113214,8.187995316532453
balanceado,Balanceado,16,I27,SANTA CECILIA - NONATO COO,Intercomunal,36,1,0.4878924496545857,0.350168672754678,0.13772377689990772,0.5089639398517234,0.4878924496545857,0.4637398136549818,24624,24624,14290,124,1,122,644,12671,391904,681000,1930,9.0102107457678,6.387745611018389,9.148290290555307,9.0102107457678,8.651735130187435
