evaluator,generated_by,cumulative_cross_score,relative_to_best_for_evaluator,gap_to_best
ponderacion_rmc,ponderacion_rmc,44.654900100859884,0.9941962971068368,0.260676662811413
ponderacion_rmc,balanceado,44.9155767636713,1,0
ponderacion_rmc,logit,44.554807090367404,0.9919678272149965,0.3607696733038921
balanceado,ponderacion_rmc,38.99463445970978,0.9927841316452677,0.2834253085168328
balanceado,balanceado,39.27805976822661,1,0
balanceado,logit,38.7959415643727,0.987725508675866,0.4821182038539149
logit,ponderacion_rmc,35.50320934461666,0.9945337065031591,0.19513764198080708
logit,balanceado,35.698346986597464,1,0
logit,logit,35.36993568301383,0.9908003778520351,0.32841130358363557
