scenario_a,scenario_b,common_projects,spearman_full,kendall_full,mean_abs_displacement,max_abs_displacement,first_divergence_step,jaccard_top_10,jaccard_top_20,jaccard_top_30,jaccard_top_50,jaccard_top_75,jaccard_top_100,jaccard_top_124
ponderacion_rmc,balanceado,124,0.9484689221085759,0.8670338316286389,5.806451612903226,63,2,0.8181818181818182,0.9047619047619048,0.875,0.8867924528301887,0.875,0.941747572815534,1
ponderacion_rmc,logit,124,0.9313233674272227,0.7833726724364017,9.258064516129032,44,2,0.42857142857142855,0.7391304347826086,0.6216216216216216,0.8518518518518519,0.8987341772151899,0.8691588785046729,1
balanceado,logit,124,0.9436475216365067,0.7993705743509048,8.887096774193548,37,2,0.5384615384615384,0.8181818181818182,0.6216216216216216,0.8518518518518519,0.8292682926829268,0.8867924528301887,1
