strategy,step,id,nombre,initial_rank,current_rank,delta_rank_improvement,initial_score,current_score,delta_score_vs_G0,selected_this_step,originally_in_fixed_topN
eva_adaptive_open,1,C049,FEDERICO ERRÁZURIZ (EX SERRANO),53,53,0,0.32905890532348764,0.32905890532348764,0,false,false
eva_adaptive_open,1,I13,LO ESPEJO-RIQUELME,54,54,0,0.32833080195639963,0.32833080195639963,0,false,false
eva_adaptive_open,1,C041,VISTA HERMOSA,55,55,0,0.32433865422117386,0.32433865422117386,0,false,false
eva_adaptive_open,1,C007,EDUARDO CASTILLO VELASCO,56,56,0,0.3209682481807713,0.3209682481807713,0,false,false
eva_adaptive_open,1,C067,CARDENAL RAUL SILVA HENRIQUEZ,57,57,0,0.31744308727562154,0.31744308727562154,0,false,false
eva_adaptive_open,1,C074,URETA COX,58,58,0,0.31449957814869145,0.31449957814869145,0,false,false
eva_adaptive_open,1,C090,SANTO DOMINGO,59,59,0,0.3106717940498921,0.3106717940498921,0,false,false
eva_adaptive_open,1,C005,CORONEL ALEJANDRO SEPULVEDA,60,60,0,0.3106497256836105,0.3106497256836105,0,false,false
eva_adaptive_open,1,C088,ÑUBLE,61,61,0,0.30596663776619404,0.30596663776619404,0,false,false
eva_adaptive_open,1,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,62,62,0,0.3053874986899725,0.3053874986899725,0,false,false
eva_adaptive_open,1,C028,MADRID,63,63,0,0.3053850663175511,0.3053850663175511,0,false,false
eva_adaptive_open,1,C034,PEDRO LEON UGALDE,64,64,0,0.30513444215224494,0.30513444215224494,0,false,false
eva_adaptive_open,1,C037,SAN ALFONSO,65,65,0,0.3032697592490899,0.3032697592490899,0,false,false
eva_adaptive_open,1,C030,MAULE,66,66,0,0.30294715823212187,0.30294715823212187,0,false,false
eva_adaptive_open,1,C042,PRINCIPE DE GALES,67,67,0,0.3015275299366899,0.3015275299366899,0,false,false
eva_adaptive_open,1,C087,SALVADOR GUTIERREZ,68,68,0,0.2988400180747415,0.2988400180747415,0,false,false
eva_adaptive_open,1,I28,SANTA RAQUEL,69,69,0,0.2960140924026152,0.2960140924026152,0,false,false
eva_adaptive_open,1,C013,HEROES DE LA CONCEPCION,70,70,0,0.29161502323158384,0.29161502323158384,0,false,false
eva_adaptive_open,1,C027,LOS PRESIDENTES,71,71,0,0.2903073892430075,0.2903073892430075,0,false,false
eva_adaptive_open,1,I32,EINSTEIN,72,72,0,0.2891830343121434,0.2891830343121434,0,false,false
eva_adaptive_open,1,C004,CONSISTORIAL,73,73,0,0.28796525159755554,0.28796525159755554,0,false,false
eva_adaptive_open,1,I23,PETERSEN - VICUÑA MACKENNA,74,74,0,0.28720997267232284,0.28720997267232284,0,false,false
eva_adaptive_open,1,C063,LONGITUDINAL,75,75,0,0.28538182252354,0.28538182252354,0,false,false
eva_adaptive_open,1,C015,JOSE MANUEL GUZMAN,76,76,0,0.2845092001303485,0.2845092001303485,0,false,false
eva_adaptive_open,1,C046,EUCALIPTOS,77,77,0,0.2836213631052964,0.2836213631052964,0,false,false
eva_adaptive_open,1,C022,LLANURA  - EL DESIERTO,78,78,0,0.2832694397879176,0.2832694397879176,0,false,false
eva_adaptive_open,1,I18,NUEVA IMPERIAL,79,79,0,0.28249960315815087,0.28249960315815087,0,false,false
eva_adaptive_open,1,I31,FERNANDEZ ALBANO,80,80,0,0.27793271006427517,0.27793271006427517,0,false,false
eva_adaptive_open,1,C035,PRODIVENCIA,81,81,0,0.27556952254522565,0.27556952254522565,0,false,false
eva_adaptive_open,1,C052,BAQUEDANO - POSTALES ORIENTE,82,82,0,0.2725119994529144,0.2725119994529144,0,false,false
eva_adaptive_open,1,C062,CORONA SUECA,83,83,0,0.27233361403980005,0.27233361403980005,0,false,false
eva_adaptive_open,1,C089,J J PEREZ,84,84,0,0.26495488367176884,0.26495488367176884,0,false,false
eva_adaptive_open,1,C064,SILVA CARVALLO - SANTA ELENA,85,85,0,0.264928178794096,0.264928178794096,0,false,false
eva_adaptive_open,1,C047,VIOLETA PARRA,86,86,0,0.2648001936107111,0.2648001936107111,0,false,false
eva_adaptive_open,1,C079,LAS AMERICAS,87,87,0,0.26410913255677176,0.26410913255677176,0,false,false
eva_adaptive_open,1,C40,VICUÑA MACKENNA - SAN MARTIN,88,88,0,0.2599804114545511,0.2599804114545511,0,false,false
eva_adaptive_open,1,C011,EYZAGUIRRE,89,89,0,0.2597262361382782,0.2597262361382782,0,false,false
eva_adaptive_open,1,C069,LOS OLMOS,90,90,0,0.2594151168255869,0.2594151168255869,0,false,false
eva_adaptive_open,1,C065,NUEVA SAN MARTIN,91,91,0,0.2588125082913236,0.2588125082913236,0,false,false
