strategy,step,id,nombre,escala,initial_rank,current_rank_before_build,initial_score,realized_score,delta_score_vs_G0,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_realized_score,discounted_realized_score,cum_discounted_score,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
static_fixed_set,18,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,18,56,0.43893681633352033,0.2926800506716095,-0.14625676566191081,4221,4221,2515,109,1,128,644,1,100,8.775487368244146,0.1223754808987791,6.154578319269604,370551,431524,2454,13533
static_fixed_set,19,EP-I10,GRAN AVENIDA,Intercomunal,19,7,0.435180901694348,0.4635814498060046,0.0284005481116566,17496,367101,32278,123,2,127,913,2,50,9.239068818050152,0.1841411896345648,6.338719508904169,388047,463802,2577,14446
static_fixed_set,20,I21,PEDRO DE VALDIVIA,Intercomunal,20,7,0.43141163724900483,0.46801394409641356,0.03660230684740873,14501,544939,21587,75,1,127,474,1,100,9.707082762146566,0.17660674784153954,6.515326256745708,402548,485389,2652,14920
static_fixed_set,21,I07,EL GUANACO,Intercomunal,21,32,0.42548756362861406,0.32512520689527913,-0.10036235673333493,0,0,0,94,1,127,443,1,100,10.032207969041846,0.11655280969212217,6.63187906643783,402548,485389,2746,15363
static_fixed_set,22,I02,CARLOS VALDOVINOS,Intercomunal,22,19,0.4243998641097862,0.35528620955926693,-0.06911365455051927,0,0,0,103,1,127,687,1,100,10.387494178601113,0.1209968493252439,6.752875915763074,402548,485389,2849,16050
static_fixed_set,23,I29,SANTA ROSA,Intercomunal,23,10,0.42297111297710543,0.38110833549450385,-0.04186277748260159,5202,5202,2732,137,2,126,710,1,100,10.768602514095617,0.12330133080156644,6.87617724656464,407750,488121,2986,16760
static_fixed_set,24,C060,ROJAS MAGALLANES,Comunal,24,17,0.4219139986989199,0.3602428240223581,-0.0616711746765618,6013,6013,3192,66,1,126,395,1,100,11.128845338117975,0.11072310601192886,6.986900352576569,413763,491313,3052,17155
static_fixed_set,25,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,25,33,0.41723732777812184,0.3122943945662924,-0.10494293321182946,8042,8042,4560,31,1,126,220,1,100,11.441139732684267,0.09118653557587933,7.078086888152448,421805,495873,3083,17375
static_fixed_set,26,I24,RADAL,Intercomunal,26,13,0.41533970570255174,0.37330818844956576,-0.042031517252985984,0,13641,5648,114,2,125,509,1,100,11.814447921133832,0.10355179903691011,7.181638687189358,421805,501521,3197,17884
static_fixed_set,27,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,27,2,0.41460848628355157,0.7332594466932745,0.3186509604097229,2119,748820,143398,151,4,122,1435,1,100,12.547707367827106,0.19322859866050943,7.374867285849867,423924,644919,3348,19319
static_fixed_set,28,I10,GRAN AVENIDA,Intercomunal,28,14,0.40682183317748805,0.37146374808270505,-0.035358085094783,8363,8363,4326,81,1,122,448,1,100,12.919171115909812,0.09299375388608538,7.467861039735952,432287,649245,3429,19767
static_fixed_set,29,C058,ANTONIO EBNER-BARROS ARANA,Comunal,29,24,0.40679457494201116,0.32935024946653935,-0.07744432547547181,0,0,0,131,1,122,341,1,100,13.248521365376352,0.07832834398869368,7.546189383724646,432287,649245,3560,20108
static_fixed_set,30,EP-I33,LA CHIMBA,Intercomunal,30,5,0.4043195865206677,0.42297625044729575,0.01865666392662807,4379,11547,5001,200,2,121,971,1,100,13.671497615823647,0.09556536797181667,7.641754751696462,436666,654246,3760,21079
