rank,id,nombre,escala,score,costo_mclp
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.6686769070660649,1192
2,I14,LO OVALLE,Intercomunal,0.6371787956227899,1374
3,I26,SAN PABLO,Intercomunal,0.6268373699221884,883
4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5815413361963746,800
5,C066,CUATRO PONIENTE,Comunal,0.572487990377622,676
6,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5721603338810728,690
7,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.558260973877864,341
8,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5227107068074346,990
9,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.49632538126901565,1031
10,I15,MARTINEZ DE ROZAS,Intercomunal,0.49042582216035796,640
11,I01,BARÓN DE JURAS REALES,Intercomunal,0.48687720322810635,781
12,C068,SAN CARLOS,Comunal,0.48156244324655567,587
13,EP-I34,VICUÑA MACKENNA,Intercomunal,0.4789418889773093,539
14,I22,PEDRO FONTOVA,Intercomunal,0.4728109936708254,688
15,I09,GENERAL VELASQUEZ,Intercomunal,0.45347011016300426,643
16,I08,GENERAL OSCAR BONILLA,Intercomunal,0.44379823929485906,595
17,C006,DOMINGO TOCORNAL,Comunal,0.44257795158972896,439
18,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.43893681633352033,644
19,EP-I10,GRAN AVENIDA,Intercomunal,0.435180901694348,913
20,I21,PEDRO DE VALDIVIA,Intercomunal,0.43141163724900483,474
21,I07,EL GUANACO,Intercomunal,0.42548756362861406,443
22,I02,CARLOS VALDOVINOS,Intercomunal,0.4243998641097862,687
23,I29,SANTA ROSA,Intercomunal,0.42297111297710543,710
24,C060,ROJAS MAGALLANES,Comunal,0.4219139986989199,395
25,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.41723732777812184,220
26,I24,RADAL,Intercomunal,0.41533970570255174,509
27,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.41460848628355157,1435
28,I10,GRAN AVENIDA,Intercomunal,0.40682183317748805,448
29,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.40679457494201116,341
30,EP-I33,LA CHIMBA,Intercomunal,0.4043195865206677,971
31,I06,DIAGONAL ORIENTE,Intercomunal,0.40267663972498335,1138
32,I04,DEL FERROCARRIL,Intercomunal,0.3940478916997146,652
33,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.38932341506856066,246
34,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.387202115587132,336
35,C029,MARIA ELENA,Comunal,0.3866330072050211,270
36,C061,EL PINAR,Comunal,0.38117344530336017,222
37,C050,MAR DE DRAKE,Comunal,0.3754671127887729,177
38,C003,CONCHA Y TORO,Comunal,0.3709576416282776,245
39,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.369297779392275,259
40,C086,LA ESTRELLA,Comunal,0.36814789692769634,185
41,C032,OBISPO MANUEL UMAÑA,Comunal,0.36167847000046166,251
42,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.36006768212709356,644
43,I25,SAN FRANCISCO,Intercomunal,0.3566735624368237,1001
44,C044,LOS CERRILLOS,Comunal,0.355273233150638,196
45,C043,NEPTUNO,Comunal,0.35474887854437137,172
46,I17,MATUCANA,Intercomunal,0.3532790270795219,287
