scenario,scenario_label,steps,final_cost_mclp,final_components,mean_components,integrated_component_reduction,cumulative_own_score,cumulative_own_score_discounted,cumulative_eval_rmc,cumulative_eval_balanceado,cumulative_eval_logit,cumulative_population,cumulative_demand,cumulative_cyclists
ponderacion_rmc,RMC,124,43887,105,111.99193548387096,3597,45.08664395038491,10.207300031044975,45.08664395038491,39.38435086656901,35.76941091801717,600177,871512,7743
balanceado,Balanceado,124,43887,105,110.83870967741936,3740,39.47061917373547,9.741072011942789,45.1149112002375,39.47061917373547,35.82704118234228,600177,871514,7740
logit,Logit (Biogeme),124,43887,105,111.58064516129032,3648,35.51405172656421,9.42122686651993,44.75750791106003,39.006786730223446,35.51405172656421,600177,871511,7747
