scenario,scenario_label,method,step,id,nombre,own_score,lookahead_value,next_best_id,next_best_score,evaluated_first_choices,score_eval_rmc,score_eval_balanceado,score_eval_logit,poblacion_marginal,demanda_habilitada,ciclistas_inducidos,componentes_red,costo_mclp,cum_cost_mclp,cum_own_score,cum_own_score_discounted,cum_eval_rmc,cum_eval_balanceado,cum_eval_logit,cum_population,cum_demand,cum_cyclists
logit,Logit (Biogeme),depth2,1,I14,LO OVALLE,0.6811390619717375,1.377491573086361,I25,0.7330026432785511,3,0.6371787956227899,0.6104879829488095,0.6811390619717375,45894,57930,228,140,1374,1374,0.6811390619717375,0.6811390619717375,0.6371787956227899,0.6104879829488095,0.6811390619717375,45894,57930,228
logit,Logit (Biogeme),depth2,2,I25,SAN FRANCISCO,0.7330026432785511,1.2969876927685353,I12,0.5936684731473518,3,0.6486007888656348,0.6620324018240843,0.7330026432785511,26575,109522,210,139,1001,2375,1.4141417052502887,1.377491573086361,1.2857795844884246,1.2725203847728936,1.4141417052502887,72469,167452,438
logit,Logit (Biogeme),depth2,3,I26,SAN PABLO,0.5933997642190485,1.1397940592362121,I12,0.5751518894917513,3,0.6233878381470758,0.6120907659404338,0.5933997642190485,38151,25989,154,138,883,3258,2.007541469469337,1.9130348602940523,1.9091674226355004,1.8846111507133274,2.007541469469337,110620,193441,592
logit,Logit (Biogeme),depth2,4,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.5751518894917513,1.1055438479301793,EP-I34,0.5583073246720296,3,0.5449199397104004,0.5168480109887336,0.5751518894917513,39371,19142,217,138,1192,4450,2.5826933589610883,2.4061557115470427,2.4540873623459007,2.401459161702061,2.5826933589610883,149991,212583,809
logit,Logit (Biogeme),depth2,5,EP-I34,VICUÑA MACKENNA,0.5583073246720296,1.0721063738047323,I11,0.5408411043502135,3,0.4789418889773093,0.4368055224633501,0.5583073246720296,0,0,271,137,539,4989,3.141000683633118,2.86090051691319,2.93302925132321,2.838264684165411,3.141000683633118,149991,212583,1080
logit,Logit (Biogeme),depth2,6,I19,PAC-LO ESPEJO-SN BDO,0.5290053485999284,1.0565266060908955,I11,0.5552855342010179,3,0.5251300555509218,0.5053516169196375,0.5290053485999284,9981,45951,149,135,1435,6424,3.6700060322330463,3.270234771495357,3.458159306874132,3.3436163010850484,3.6700060322330463,159972,258534,1229
logit,Logit (Biogeme),depth2,7,I11,JOSE JOAQUIN PEREZ,0.5552855342010179,1.079076006066701,C068,0.5513583914375612,3,0.6260116741538444,0.5831961847569177,0.5552855342010179,28111,56681,107,135,690,7114,4.2252915664340644,3.678420664667896,4.0841709810279765,3.926812485841966,4.2252915664340644,188083,315215,1336
logit,Logit (Biogeme),depth2,8,I16,MATTA-VESPUCIO NORTE,0.5234634421223687,1.078601878823642,I22,0.584356249159235,3,0.5227107068074346,0.5502072458808959,0.5234634421223687,34088,18290,126,133,990,8104,4.748755008556433,4.043974709443558,4.606881687835411,4.477019731722862,4.748755008556433,222171,333505,1462
logit,Logit (Biogeme),depth2,9,I22,PEDRO FONTOVA,0.584356249159235,1.1284458663240633,C068,0.5727259128050826,3,0.6299131499262292,0.6346260426697938,0.584356249159235,16446,80382,72,131,688,8792,5.333111257715668,4.431648584287236,5.23679483776164,5.111645774392656,5.333111257715668,238617,413887,1534
logit,Logit (Biogeme),depth2,10,C068,SAN CARLOS,0.5727259128050826,1.0792329590452965,EP-ALAMEDA-T3,0.5331653118318042,3,0.5936726642257372,0.645793370097828,0.5727259128050826,35574,74223,67,129,587,9379,5.90583717052075,4.792608752766627,5.8304675019873775,5.757439144490484,5.90583717052075,274191,488110,1601
