scenario,greedy_area_population,depth2_area_population,pct_area_population,greedy_area_demand,depth2_area_demand,pct_area_demand,greedy_area_cyclists,depth2_area_cyclists,pct_area_cyclists
ponderacion_rmc,64232198,64148610,-0.13013411124433263,97345906,97911165,0.5806705420153981,647083,653850,1.0457700171384505
balanceado,64498446,64429012,-0.10765220607020516,97774536,98615690,0.8602996592077921,642075,640811,-0.196861737335981
logit,63805634,63909994,0.1635592242528301,96737645,97146234,0.4223681484079957,676526,675236,-0.19068003299208014
