id,frecuencia,apariciones,escenarios
C067,1,16,16
I04,1,16,16
I11,1,16,16
I12,1,16,16
I14,1,16,16
I19,1,16,16
I26,1,16,16
I30,1,16,16
C068,0.75,12,16
EP-ALAMEDA-T3,0.75,12,16
C066,0.25,4,16
I01,0.25,4,16
