k,jaccard_top_k,spearman_rank,kendall_tau,desplazamiento_medio,desplazamiento_maximo,coincidencias_top_k,reference,comparison
5,1,0.6,0.4,0.8,2,5,A,B
10,0.6666666666666666,0.8787878787878788,0.6666666666666666,2.3,13,8,A,B
15,0.5789473684210527,0.7821428571428571,0.5824175824175825,2.6,13,11,A,B
20,0.7391304347826086,0.8406015037593985,0.6842105263157895,2.6,13,17,A,B
30,0.7142857142857143,0.8398220244716351,0.5933333333333334,7,30,25,A,B
