k,jaccard_top_k,spearman_rank,kendall_tau,desplazamiento_medio,desplazamiento_maximo,coincidencias_top_k
5,0.6666666666666666,0.7,0.6,0.8,3,4
10,0.5384615384615384,0.806060606060606,0.6444444444444445,6.6,51,7
15,0.5,0.6964285714285714,0.5619047619047619,8.6,51,10
20,0.5384615384615384,0.6556390977443609,0.5263157894736842,9.35,51,14
30,0.4634146341463415,0.7610678531701891,0.6,16.6,60,19
