id,frecuencia,apariciones,escenarios
C068,1,6,6
I04,1,6,6
I12,1,6,6
I14,1,6,6
I19,1,6,6
C049,0.6666666666666666,4,6
EP-I10,0.6666666666666666,4,6
I08,0.6666666666666666,4,6
I10,0.6666666666666666,4,6
I25,0.6666666666666666,4,6
C067,0.3333333333333333,2,6
EP-ALAMEDA-T3,0.3333333333333333,2,6
I11,0.3333333333333333,2,6
I26,0.3333333333333333,2,6
I30,0.3333333333333333,2,6
