scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
eficiencia,Eficiencia presupuestaria,34,C043,NEPTUNO,Comunal,16,0.43190061381093797,0,0,0,31,1,118,0,0,24,172,17158,521286,795316,2975
eficiencia,Eficiencia presupuestaria,35,C056,TEMUCO - TORO MAZOTTE,Comunal,100,0.4284500904141698,8042,8042,4827,85,1,118,0,0,24,186,17344,529328,800143,3060
eficiencia,Eficiencia presupuestaria,36,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,42,0.42692579499131134,3082,11698,5585,47,2,117,-1,1,25,336,17680,532410,805728,3107
eficiencia,Eficiencia presupuestaria,37,I03,CARRASCAL,Intercomunal,116,0.4394995022867886,0,16584,9569,61,2,116,-1,1,26,442,18122,532410,815297,3168
eficiencia,Eficiencia presupuestaria,38,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,58,0.42492747212083193,0,5802,3562,5,2,115,-1,1,27,49,18171,532410,818859,3173
eficiencia,Eficiencia presupuestaria,39,C003,CONCHA Y TORO,Comunal,12,0.4215795744648828,0,2169,1049,6,2,114,-1,1,28,245,18416,532410,819908,3179
eficiencia,Eficiencia presupuestaria,40,C006,DOMINGO TOCORNAL,Comunal,9,0.4176503009747847,0,4416,2578,70,2,113,-1,1,29,439,18855,532410,822486,3249
eficiencia,Eficiencia presupuestaria,41,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,52,0.4154581800708038,0,0,0,25,1,113,0,0,29,168,19023,532410,822486,3274
eficiencia,Eficiencia presupuestaria,42,C015,JOSE MANUEL GUZMAN,Comunal,43,0.41540035721304064,2719,2719,1614,20,1,113,0,0,29,202,19225,535129,824100,3294
eficiencia,Eficiencia presupuestaria,43,C014,JOSE DOMINGO CAÑAS,Comunal,46,0.41453776127500186,0,0,0,97,1,113,0,0,29,259,19484,535129,824100,3391
eficiencia,Eficiencia presupuestaria,44,C085,LOS LIBERTADORES,Comunal,105,0.41214363168861023,5017,5017,2992,8,1,113,0,0,29,177,19661,540146,827092,3399
eficiencia,Eficiencia presupuestaria,45,C001,SAN EUGENIO,Comunal,45,0.40227342541745,0,0,0,31,1,113,0,0,29,114,19775,540146,827092,3430
eficiencia,Eficiencia presupuestaria,46,I17,MATUCANA,Intercomunal,69,0.4022658847969904,0,0,0,84,1,113,0,0,29,287,20062,540146,827092,3514
eficiencia,Eficiencia presupuestaria,47,C083,ORIENTAL-LAS PARCELAS,Comunal,82,0.40090461842632347,4804,4804,2894,87,1,113,0,0,29,392,20454,544950,829986,3601
eficiencia,Eficiencia presupuestaria,48,C090,SANTO DOMINGO,Comunal,60,0.40058702303478616,0,0,0,44,1,113,0,0,29,150,20604,544950,829986,3645
eficiencia,Eficiencia presupuestaria,49,C009,EL ROSAL - SANTA ELENA,Comunal,68,0.39878646162106535,0,0,0,21,1,113,0,0,29,169,20773,544950,829986,3666
