scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
fractal_alameda,Red dendrítica Alameda (fractal),80,C084,EL PINO - UNO SUR,Comunal,118,0.426865168488774,0,0,0,37,1,108,0,0,34,166,35478,546978,839053,6705
fractal_alameda,Red dendrítica Alameda (fractal),81,C076,ISLA DECEPCION,Comunal,87,0.4264993594708572,0,0,0,23,1,108,0,0,34,97,35575,546978,839053,6728
fractal_alameda,Red dendrítica Alameda (fractal),82,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,13,0.4263182747835636,0,0,0,31,1,108,0,0,34,220,35795,546978,839053,6759
fractal_alameda,Red dendrítica Alameda (fractal),83,C039,TUPUNGATO,Comunal,111,0.4257215937838071,0,0,0,21,1,108,0,0,34,63,35858,546978,839053,6780
fractal_alameda,Red dendrítica Alameda (fractal),84,C063,LONGITUDINAL,Comunal,75,0.4255932898500035,13349,24325,14704,38,1,108,0,0,34,192,36050,560327,853757,6818
fractal_alameda,Red dendrítica Alameda (fractal),85,C009,EL ROSAL - SANTA ELENA,Comunal,90,0.4334252072836507,0,0,0,21,1,108,0,0,34,169,36219,560327,853757,6839
fractal_alameda,Red dendrítica Alameda (fractal),86,C011,EYZAGUIRRE,Comunal,83,0.42541073283203895,0,0,0,31,1,108,0,0,34,284,36503,560327,853757,6870
fractal_alameda,Red dendrítica Alameda (fractal),87,C054,VICTORIA,Comunal,95,0.4251550261454243,0,0,0,27,1,108,0,0,34,249,36752,560327,853757,6897
fractal_alameda,Red dendrítica Alameda (fractal),88,C072,COVADONGA,Comunal,110,0.42491546561016796,0,0,0,15,1,108,0,0,34,143,36895,560327,853757,6912
fractal_alameda,Red dendrítica Alameda (fractal),89,C071,BARROS ARANA,Comunal,98,0.4249181343581277,0,0,0,17,1,108,0,0,34,177,37072,560327,853757,6929
fractal_alameda,Red dendrítica Alameda (fractal),90,C055,ARTURO PRAT,Comunal,120,0.42497154427633443,0,0,0,13,1,108,0,0,34,101,37173,560327,853757,6942
fractal_alameda,Red dendrítica Alameda (fractal),91,C081,SAN GREGORIO - DIEGO MEZA,Comunal,22,0.42491023963198155,0,0,0,36,1,108,0,0,34,246,37419,560327,853757,6978
fractal_alameda,Red dendrítica Alameda (fractal),92,C074,URETA COX,Comunal,36,0.42485032547700335,0,0,0,29,1,108,0,0,34,161,37580,560327,853757,7007
fractal_alameda,Red dendrítica Alameda (fractal),93,C042,PRINCIPE DE GALES,Comunal,51,0.4247508572491964,0,0,0,11,1,108,0,0,34,190,37770,560327,853757,7018
fractal_alameda,Red dendrítica Alameda (fractal),94,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,101,0.42429373391805664,0,0,0,21,1,108,0,0,34,90,37860,560327,853757,7039
