scenario,scenario_label,step,population_share,od_share,joint_share
ponderacion_rmc,RMC,1,0.07407648077150573,0.06681728629931234,0.06681728629931234
ponderacion_rmc,RMC,2,0.1291652295906041,0.09460236302238297,0.09460236302238297
ponderacion_rmc,RMC,3,0.17600307909166796,0.15570543573173487,0.15570543573173487
ponderacion_rmc,RMC,4,0.2228392624175868,0.19755344453483661,0.19755344453483661
ponderacion_rmc,RMC,5,0.3058347787402716,0.2319110143188095,0.2319110143188095
ponderacion_rmc,RMC,6,0.31300099803891185,0.3296699640050441,0.31300099803891185
ponderacion_rmc,RMC,7,0.3881554941292319,0.3608755368549565,0.3608755368549565
ponderacion_rmc,RMC,8,0.44742800873742244,0.44598289637193334,0.44598289637193334
ponderacion_rmc,RMC,9,0.5042245870801447,0.4669694358418884,0.4669694358418884
ponderacion_rmc,RMC,10,0.5316265035147965,0.5585838847702439,0.5316265035147965
ponderacion_rmc,RMC,11,0.5377380339466524,0.6053888017477691,0.5377380339466524
ponderacion_rmc,RMC,12,0.5615993281981816,0.6825054416983836,0.5615993281981816
ponderacion_rmc,RMC,13,0.5857605339758105,0.7116364566827039,0.5857605339758105
ponderacion_rmc,RMC,14,0.5857605339758105,0.7501649434143688,0.5857605339758105
ponderacion_rmc,RMC,15,0.6502331812115426,0.7734589695368159,0.6502331812115426
ponderacion_rmc,RMC,16,0.6772568758882797,0.7837973358913427,0.6772568758882797
ponderacion_rmc,RMC,17,0.7182847726587324,0.8001941455701649,0.7182847726587324
ponderacion_rmc,RMC,18,0.7182847726587324,0.8001941455701649,0.7182847726587324
ponderacion_rmc,RMC,19,0.726222431049507,0.80686876011892,0.726222431049507
ponderacion_rmc,RMC,20,0.7754862315616893,0.8241743362963864,0.7754862315616893
ponderacion_rmc,RMC,21,0.7767108702932635,0.8302534334047419,0.7767108702932635
ponderacion_rmc,RMC,22,0.7840070512532137,0.8359917430761058,0.7840070512532137
ponderacion_rmc,RMC,23,0.7933776202686874,0.8663080557789862,0.7933776202686874
ponderacion_rmc,RMC,24,0.8013819256652621,0.8696287252828708,0.8013819256652621
ponderacion_rmc,RMC,25,0.8013819256652621,0.8760233663143666,0.8013819256652621
ponderacion_rmc,RMC,26,0.801408584467582,0.8808563517844296,0.801408584467582
ponderacion_rmc,RMC,27,0.8221874547008633,0.8892027754096047,0.8221874547008633
ponderacion_rmc,RMC,28,0.8221874547008633,0.8976180449816468,0.8221874547008633
ponderacion_rmc,RMC,29,0.8444292267114535,0.9144898916938513,0.8444292267114535
ponderacion_rmc,RMC,30,0.8444292267114535,0.9187755518863215,0.8444292267114535
ponderacion_rmc,RMC,31,0.8444292267114535,0.9297553329791591,0.8444292267114535
ponderacion_rmc,RMC,32,0.8444292267114535,0.9297553329791591,0.8444292267114535
ponderacion_rmc,RMC,33,0.8530966698157377,0.9329991245090423,0.8530966698157377
ponderacion_rmc,RMC,34,0.863115380962616,0.9369153114533265,0.863115380962616
ponderacion_rmc,RMC,35,0.8804019480919796,0.9434660032977209,0.8804019480919796
ponderacion_rmc,RMC,36,0.8874348733790198,0.9463529433363435,0.8874348733790198
ponderacion_rmc,RMC,37,0.8958074034826393,0.949679350002467,0.8958074034826393
ponderacion_rmc,RMC,38,0.9039683293428439,0.9587647201240145,0.9039683293428439
ponderacion_rmc,RMC,39,0.9091034811397305,0.9608874701524135,0.9091034811397305
ponderacion_rmc,RMC,40,0.9091034811397305,0.9638455510027986,0.9091034811397305
ponderacion_rmc,RMC,41,0.9225028616558115,0.9693842074282482,0.9225028616558115
ponderacion_rmc,RMC,42,0.9225028616558115,0.9693842074282482,0.9225028616558115
ponderacion_rmc,RMC,43,0.9349558546895332,0.9742596478988791,0.9349558546895332
ponderacion_rmc,RMC,44,0.9444630500668969,0.9780748607877583,0.9444630500668969
ponderacion_rmc,RMC,45,0.9444630500668969,0.9780748607877583,0.9444630500668969
ponderacion_rmc,RMC,46,0.9444630500668969,0.9780748607877583,0.9444630500668969
ponderacion_rmc,RMC,47,0.9444630500668969,0.9780748607877583,0.9444630500668969
ponderacion_rmc,RMC,48,0.9444630500668969,0.9780748607877583,0.9444630500668969
ponderacion_rmc,RMC,49,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,50,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,51,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,52,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,53,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,54,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,55,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,56,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,57,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,58,0.9484885292172143,0.9796743816199681,0.9484885292172143
ponderacion_rmc,RMC,59,0.9530188594364662,0.9815263375906902,0.9530188594364662
ponderacion_rmc,RMC,60,0.9530188594364662,0.9815263375906902,0.9530188594364662
ponderacion_rmc,RMC,61,0.9530188594364662,0.9856421777808886,0.9530188594364662
ponderacion_rmc,RMC,62,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,63,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,64,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,65,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,66,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,67,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,68,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,69,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,70,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,71,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,72,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,73,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,74,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,75,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,76,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,77,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,78,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,79,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,80,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,81,0.9555631088828795,0.9883168428166713,0.9555631088828795
ponderacion_rmc,RMC,82,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,83,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,84,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,85,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,86,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,87,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,88,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,89,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,90,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,91,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,92,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,93,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,94,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,95,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,96,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,97,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,98,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,99,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,100,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,101,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,102,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,103,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,104,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,105,0.9555631088828795,0.9895204994543959,0.9555631088828795
ponderacion_rmc,RMC,106,0.9555631088828795,0.9895204994543959,0.9555631088828795
