id,nombre,escala,rank_min,rank_max,rank_range,rank_mean,rank_median,rank_sd,top10_count,top20_count,top30_count,best_scenario,best_scenario_label,worst_scenario,worst_scenario_label
C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,68,111,43,96.16666666666667,99.0,10.09812963980074,0,0,0,eficiencia,Eficiencia,seguridad,Seguridad
C037,SAN ALFONSO,Comunal,55,98,43,81.91666666666667,85.0,10.003818715315111,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,52,95,43,76.75,79.0,10.001041612418845,0,0,0,seguridad,Seguridad,eficiencia,Eficiencia
C012,GABRIELA ORIENTE,Comunal,73,115,42,107.66666666666667,113.0,11.960583412006104,0,0,0,eficiencia,Eficiencia,ponderacion_rmc,RMC
C013,HEROES DE LA CONCEPCION,Comunal,72,114,42,104.58333333333333,108.0,11.19120438360213,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
I10,GRAN AVENIDA,Intercomunal,8,48,40,23.416666666666668,17.5,13.48121120506446,1,7,9,eficiencia,Eficiencia,demanda,Demanda
C009,EL ROSAL - SANTA ELENA,Comunal,49,89,40,72.25,73.5,10.337028909056349,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
C039,TUPUNGATO,Comunal,60,99,39,88.41666666666667,91.5,10.250677484385552,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
C062,CORONA SUECA,Comunal,50,88,38,63.25,63.0,10.337028909056349,0,0,0,seguridad,Seguridad,eficiencia,Eficiencia
C004,CONSISTORIAL,Comunal,80,118,38,104.66666666666667,108.0,10.241527663824812,0,0,0,ciclistas_biogeme,Logit,eficiencia,Eficiencia
I09,GENERAL VELASQUEZ,Intercomunal,21,59,38,42.416666666666664,40.5,10.095034532988098,0,0,1,ponderacion_rmc,RMC,eficiencia,Eficiencia
C006,DOMINGO TOCORNAL,Comunal,2,40,38,32.333333333333336,34.5,10.060925515191046,1,1,3,continuidad,Continuidad,ponderacion_rmc,RMC
C023,AVENIDA DORSAL,Comunal,64,101,37,72.5,71.0,9.5,0,0,0,intermodal,Intermodal,eficiencia,Eficiencia
C055,ARTURO PRAT,Comunal,69,106,37,92.16666666666667,95.0,9.007712744581106,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
EP-I34,VICUÑA MACKENNA,Intercomunal,2,37,35,17.916666666666668,19.0,10.103286044099162,3,10,10,ciclistas_biogeme,Logit,demanda,Demanda
I32,EINSTEIN,Intercomunal,26,60,34,45.833333333333336,52.0,11.589027377461646,0,0,2,eficiencia,Eficiencia,demanda,Demanda
C042,PRINCIPE DE GALES,Comunal,76,108,32,92.16666666666667,92.5,8.839620404117413,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
EP-I33,LA CHIMBA,Intercomunal,21,52,31,24.75,22.0,8.486508901387738,0,0,11,balanceado,Balanceado,eficiencia,Eficiencia
C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,70,101,31,82.5,84.5,8.159861109929098,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
C011,EYZAGUIRRE,Comunal,72,103,31,90.25,93.0,7.6498910667625415,0,0,0,seguridad,Seguridad,eficiencia,Eficiencia
C035,PRODIVENCIA,Comunal,24,54,30,31.583333333333332,27.0,9.595644266483042,0,0,9,equidad,Equidad,ciclistas_biogeme,Logit
C022,LLANURA  - EL DESIERTO,Comunal,38,68,30,58,60.5,8.916277250063503,0,0,0,continuidad,Continuidad,ponderacion_rmc,RMC
C044,LOS CERRILLOS,Comunal,79,109,30,100.58333333333333,105.0,8.597076376432993,0,0,0,seguridad,Seguridad,ciclistas_biogeme,Logit
C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,74,104,30,84.41666666666667,85.5,7.718574278251709,0,0,0,equidad,Equidad,seguridad,Seguridad
C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,81,110,29,91.08333333333333,89.5,8.087627725249366,0,0,0,ponderacion_rmc,RMC,equidad,Equidad
C079,LAS AMERICAS,Comunal,84,113,29,104.08333333333333,107.0,7.931564928954577,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
C024,LOS ARRAYANES - LOS COPIHUES,Comunal,59,87,28,65.25,63.5,7.292976072907411,0,0,0,equidad,Equidad,eficiencia,Eficiencia
C048,GENERAL ARRIAGADA,Comunal,88,115,27,109.16666666666667,113.5,8.008675851155976,0,0,0,ciclistas_biogeme,Logit,balanceado,Balanceado
C072,COVADONGA,Comunal,77,104,27,91.41666666666667,94.5,7.815138443360354,0,0,0,seguridad,Seguridad,ciclistas_biogeme,Logit
C001,SAN EUGENIO,Comunal,45,72,27,59.916666666666664,61.0,7.488416981504762,0,0,0,eficiencia,Eficiencia,ciclistas_biogeme,Logit
