rank,id,nombre,escala,score
95,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.2233965440783006
96,C017,LA PARINACOTA,Comunal,0.2224520024539758
97,I03,CARRASCAL,Intercomunal,0.2220398694244814
98,C048,GENERAL ARRIAGADA,Comunal,0.22098639410553336
99,C054,VICTORIA,Comunal,0.21579529399440658
100,C026,LOS MAITENES,Comunal,0.21505172004956516
101,C082,CAUPOLICAN,Comunal,0.21345357477037744
102,C071,BARROS ARANA,Comunal,0.21314745550456518
103,C004,CONSISTORIAL,Comunal,0.2121949087374534
104,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.2110522251616834
105,C031,NECOCHEA,Comunal,0.21065314913545816
106,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.20645876472841027
107,C080,PARAGUAY,Comunal,0.20406182901032083
108,C056,TEMUCO - TORO MAZOTTE,Comunal,0.20230451172299221
109,C077,RICARDO VIAL,Comunal,0.20068845061073526
110,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.19539105200690043
111,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.19515348900616028
112,C079,LAS AMERICAS,Comunal,0.19030254126701812
113,C085,LOS LIBERTADORES,Comunal,0.18935409427427272
114,C072,COVADONGA,Comunal,0.18918426318608839
115,C039,TUPUNGATO,Comunal,0.18851379027742082
116,C008,EL CERRO,Comunal,0.18824336270628994
117,C084,EL PINO - UNO SUR,Comunal,0.18732955323192435
118,C055,ARTURO PRAT,Comunal,0.17847098580505624
119,C021,LAUTARO,Comunal,0.1673928504336534
120,C073,LOS MORROS,Comunal,0.1655175086873455
121,C045,PORTO ALEGRE,Comunal,0.1628157262301424
122,C018,LA PRIMAVERA,Comunal,0.14736955371216562
123,C025,LOS DURAZNOS,Comunal,0.14071585938320208
124,C016,JUANITA,Comunal,0.1357778199575531
