id,nombre,escala,scenario,scenario_label,rank
I11,JOSE JOAQUIN PEREZ,Intercomunal,seguridad,Seguridad,5
I11,JOSE JOAQUIN PEREZ,Intercomunal,intermodal,Intermodal,17
I22,PEDRO FONTOVA,Intercomunal,ponderacion_rmc,RMC,10
I22,PEDRO FONTOVA,Intercomunal,balanceado,Balanceado,6
I22,PEDRO FONTOVA,Intercomunal,equidad,Equidad,16
I22,PEDRO FONTOVA,Intercomunal,demanda,Demanda,9
I22,PEDRO FONTOVA,Intercomunal,ciclistas_biogeme,Logit,10
I22,PEDRO FONTOVA,Intercomunal,fractal_alameda,Fractal,13
I22,PEDRO FONTOVA,Intercomunal,continuidad,Continuidad,4
I22,PEDRO FONTOVA,Intercomunal,eficiencia,Eficiencia,13
I22,PEDRO FONTOVA,Intercomunal,educacion,Educación,5
I22,PEDRO FONTOVA,Intercomunal,integracion,Integración,3
I22,PEDRO FONTOVA,Intercomunal,seguridad,Seguridad,11
I22,PEDRO FONTOVA,Intercomunal,intermodal,Intermodal,4
C068,SAN CARLOS,Comunal,ponderacion_rmc,RMC,8
C068,SAN CARLOS,Comunal,balanceado,Balanceado,9
C068,SAN CARLOS,Comunal,equidad,Equidad,7
C068,SAN CARLOS,Comunal,demanda,Demanda,5
C068,SAN CARLOS,Comunal,ciclistas_biogeme,Logit,8
C068,SAN CARLOS,Comunal,fractal_alameda,Fractal,10
C068,SAN CARLOS,Comunal,continuidad,Continuidad,28
C068,SAN CARLOS,Comunal,eficiencia,Eficiencia,7
C068,SAN CARLOS,Comunal,educacion,Educación,10
C068,SAN CARLOS,Comunal,integracion,Integración,10
C068,SAN CARLOS,Comunal,seguridad,Seguridad,8
C068,SAN CARLOS,Comunal,intermodal,Intermodal,12
I04,DEL FERROCARRIL,Intercomunal,ponderacion_rmc,RMC,12
I04,DEL FERROCARRIL,Intercomunal,balanceado,Balanceado,12
I04,DEL FERROCARRIL,Intercomunal,equidad,Equidad,15
I04,DEL FERROCARRIL,Intercomunal,demanda,Demanda,7
I04,DEL FERROCARRIL,Intercomunal,ciclistas_biogeme,Logit,13
I04,DEL FERROCARRIL,Intercomunal,fractal_alameda,Fractal,8
I04,DEL FERROCARRIL,Intercomunal,continuidad,Continuidad,6
I04,DEL FERROCARRIL,Intercomunal,eficiencia,Eficiencia,10
I04,DEL FERROCARRIL,Intercomunal,educacion,Educación,13
I04,DEL FERROCARRIL,Intercomunal,integracion,Integración,7
I04,DEL FERROCARRIL,Intercomunal,seguridad,Seguridad,14
I04,DEL FERROCARRIL,Intercomunal,intermodal,Intermodal,7
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,ponderacion_rmc,RMC,14
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,balanceado,Balanceado,13
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,equidad,Equidad,23
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,demanda,Demanda,14
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,ciclistas_biogeme,Logit,11
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,fractal_alameda,Fractal,9
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,continuidad,Continuidad,17
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,eficiencia,Eficiencia,2
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,educacion,Educación,16
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,integracion,Integración,16
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,seguridad,Seguridad,15
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,intermodal,Intermodal,8
EP-I10,GRAN AVENIDA,Intercomunal,ponderacion_rmc,RMC,19
EP-I10,GRAN AVENIDA,Intercomunal,balanceado,Balanceado,15
EP-I10,GRAN AVENIDA,Intercomunal,equidad,Equidad,6
EP-I10,GRAN AVENIDA,Intercomunal,demanda,Demanda,17
