step,best_population_scenario,best_population_label,best_population_share,best_demand_scenario,best_demand_label,best_demand_share,best_components_scenario,best_components_label,best_components_share,best_joint_pd_scenario,best_joint_pd_label,best_joint_pd_index,best_joint_pdc_scenario,best_joint_pdc_label,best_joint_pdc_index
49,balanceado,Balanceado,0.9528222507693563,demanda,Demanda,0.9940172734877093,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.9734197621285328,continuidad,Continuidad,0.9868220329047878
50,integracion,Integración,0.9568477299196737,demanda,Demanda,0.9940172734877093,continuidad,Continuidad,1.0285714285714285,integracion,Integración,0.9746809446099163,continuidad,Continuidad,0.9868220329047878
51,integracion,Integración,0.9568477299196737,integracion,Integración,0.9956168130788791,continuidad,Continuidad,1.0285714285714285,integracion,Integración,0.9762322714992764,continuidad,Continuidad,0.9868220329047878
52,demanda,Demanda,0.9573525809886083,demanda,Demanda,0.9958692337084298,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.9766109073485191,integracion,Integración,0.9936786571899937
53,demanda,Demanda,0.9613780601389257,demanda,Demanda,0.9974687582113323,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.979423409175129,integracion,Integración,0.9936786571899937
54,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
55,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
56,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
57,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
58,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,continuidad,Continuidad,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
59,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
60,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
61,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
62,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,integracion,Integración,0.9936786571899937
63,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,educacion,Educación,0.9947718672854143
64,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,educacion,Educación,0.9965115044231484
65,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,educacion,Educación,0.9965115044231484
66,demanda,Demanda,0.963922309585339,demanda,Demanda,0.9994733272978248,balanceado,Balanceado,1.0285714285714285,demanda,Demanda,0.9816978184415819,educacion,Educación,0.9965115044231484
