scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
balanceado,Balanceado,37,I24,RADAL,Intercomunal,32,0.35083785287793495,0,8616,3735,111,2,113,-1,1,29,509,23515,544255,826021,4059
balanceado,Balanceado,38,I03,CARRASCAL,Intercomunal,97,0.38489881011811883,0,16584,9569,62,2,112,-1,1,30,442,23957,544255,835590,4121
balanceado,Balanceado,39,I09,GENERAL VELASQUEZ,Intercomunal,31,0.34836808202154423,735,9656,3912,73,1,112,0,0,30,643,24600,544990,839502,4194
balanceado,Balanceado,40,C053,CONDELL,Comunal,39,0.3480501579105411,5706,5706,3325,76,1,112,0,0,30,280,24880,550696,842827,4270
balanceado,Balanceado,41,I15,MARTINEZ DE ROZAS,Intercomunal,18,0.3396363191999069,0,0,0,254,1,112,0,0,30,640,25520,550696,842827,4524
balanceado,Balanceado,42,C056,TEMUCO - TORO MAZOTTE,Comunal,108,0.3158736521717129,8042,8042,4827,85,1,112,0,0,30,186,25706,558738,847654,4609
balanceado,Balanceado,43,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,66,0.3152632006521745,5025,5025,2899,66,1,112,0,0,30,361,26067,563763,850553,4675
balanceado,Balanceado,44,C003,CONCHA Y TORO,Comunal,22,0.3090482220860951,0,2169,1049,6,2,111,-1,1,31,245,26312,563763,851602,4681
balanceado,Balanceado,45,I17,MATUCANA,Intercomunal,56,0.3071463317597267,3082,3082,1850,89,1,111,0,0,31,287,26599,566845,853452,4770
balanceado,Balanceado,46,I02,CARLOS VALDOVINOS,Intercomunal,24,0.30294675748415273,0,0,0,108,1,111,0,0,31,687,27286,566845,853452,4878
balanceado,Balanceado,47,C085,LOS LIBERTADORES,Comunal,113,0.3000498458651636,5017,5017,2992,8,1,111,0,0,31,177,27463,571862,856444,4886
balanceado,Balanceado,48,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,83,0.289155622946105,0,5802,3562,5,2,110,-1,1,32,49,27512,571862,860006,4891
balanceado,Balanceado,49,I13,LO ESPEJO-RIQUELME,Intercomunal,50,0.28544055419050546,0,0,0,126,2,109,-1,1,33,700,28212,571862,860006,5017
balanceado,Balanceado,50,C014,JOSE DOMINGO CAÑAS,Comunal,53,0.28309215789783865,0,0,0,97,1,109,0,0,33,259,28471,571862,860006,5114
balanceado,Balanceado,51,C090,SANTO DOMINGO,Comunal,60,0.2827471828116978,0,0,0,47,1,109,0,0,33,150,28621,571862,860006,5161
balanceado,Balanceado,52,C043,NEPTUNO,Comunal,37,0.2825494265948047,0,0,0,32,1,109,0,0,33,172,28793,571862,860006,5193
balanceado,Balanceado,53,I32,EINSTEIN,Intercomunal,91,0.27283318663075135,0,0,0,70,1,109,0,0,33,366,29159,571862,860006,5263
balanceado,Balanceado,54,I18,NUEVA IMPERIAL,Intercomunal,63,0.2721464418392471,0,0,0,70,1,109,0,0,33,290,29449,571862,860006,5333
balanceado,Balanceado,55,C083,ORIENTAL-LAS PARCELAS,Comunal,61,0.26505277785148107,0,0,0,89,1,109,0,0,33,392,29841,571862,860006,5422
balanceado,Balanceado,56,C007,EDUARDO CASTILLO VELASCO,Comunal,59,0.26423848890994855,0,0,0,76,1,109,0,0,33,409,30250,571862,860006,5498
balanceado,Balanceado,57,C022,LLANURA  - EL DESIERTO,Comunal,58,0.2634709012598797,0,0,0,39,3,107,-2,2,35,122,30372,571862,860006,5537
balanceado,Balanceado,58,C058,ANTONIO EBNER-BARROS ARANA,Comunal,35,0.26184484596757396,0,0,0,143,1,107,0,0,35,341,30713,571862,860006,5680
balanceado,Balanceado,59,C026,LOS MAITENES,Comunal,100,0.26158874435646834,0,6013,3587,30,2,106,-1,1,36,150,30863,571862,863593,5710
balanceado,Balanceado,60,I07,EL GUANACO,Intercomunal,28,0.25929001482646336,0,0,0,100,1,106,0,0,36,443,31306,571862,863593,5810
balanceado,Balanceado,61,C001,SAN EUGENIO,Comunal,54,0.2587294203514589,0,0,0,31,1,106,0,0,36,114,31420,571862,863593,5841
balanceado,Balanceado,62,C082,CAUPOLICAN,Comunal,101,0.2580213519769755,2416,2416,1394,12,1,106,0,0,36,118,31538,574278,864987,5853
balanceado,Balanceado,63,C062,CORONA SUECA,Comunal,84,0.25789429168421,0,0,0,54,1,106,0,0,36,280,31818,574278,864987,5907
balanceado,Balanceado,64,C078,WALDO TAFF,Comunal,45,0.25767572434988134,0,0,0,49,1,106,0,0,36,157,31975,574278,864987,5956
balanceado,Balanceado,65,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,82,0.2563382129686686,0,0,0,25,1,106,0,0,36,168,32143,574278,864987,5981
balanceado,Balanceado,66,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,34,0.2561901813862282,0,0,0,51,1,106,0,0,36,259,32402,574278,864987,6032
balanceado,Balanceado,67,C015,JOSE MANUEL GUZMAN,Comunal,68,0.25221523650424194,2719,2719,1614,20,1,106,0,0,36,202,32604,576997,866601,6052
balanceado,Balanceado,68,C047,VIOLETA PARRA,Comunal,89,0.25202162169060754,0,0,0,95,1,106,0,0,36,240,32844,576997,866601,6147
balanceado,Balanceado,69,C009,EL ROSAL - SANTA ELENA,Comunal,88,0.2517344244742811,0,0,0,21,1,106,0,0,36,169,33013,576997,866601,6168
balanceado,Balanceado,70,C033,OBSERVATORIO,Comunal,90,0.2513134955209176,0,0,0,42,1,106,0,0,36,207,33220,576997,866601,6210
balanceado,Balanceado,71,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,43,0.24961522953186419,0,0,0,58,1,106,0,0,36,336,33556,576997,866601,6268
balanceado,Balanceado,72,C061,EL PINAR,Comunal,41,0.2494826181363451,0,0,0,32,1,106,0,0,36,222,33778,576997,866601,6300
balanceado,Balanceado,73,C023,AVENIDA DORSAL,Comunal,40,0.24946346507262765,0,0,0,48,1,106,0,0,36,308,34086,576997,866601,6348
balanceado,Balanceado,74,C050,MAR DE DRAKE,Comunal,25,0.24861395527987268,0,10761,2704,32,1,106,0,0,36,177,34263,576997,869305,6380
balanceado,Balanceado,75,C088,ÑUBLE,Comunal,69,0.24812587016636872,0,0,0,39,1,106,0,0,36,207,34470,576997,869305,6419
balanceado,Balanceado,76,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,71,0.24616269407021546,0,0,0,49,1,106,0,0,36,146,34616,576997,869305,6468
balanceado,Balanceado,77,C032,OBISPO MANUEL UMAÑA,Comunal,48,0.24491494652690077,0,0,0,26,1,106,0,0,36,251,34867,576997,869305,6494
balanceado,Balanceado,78,I31,FERNANDEZ ALBANO,Intercomunal,73,0.2444439122761516,0,0,0,48,1,106,0,0,36,238,35105,576997,869305,6542
balanceado,Balanceado,79,C037,SAN ALFONSO,Comunal,74,0.24289974460612965,0,0,0,19,1,106,0,0,36,201,35306,576997,869305,6561
balanceado,Balanceado,80,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,110,0.24239644513775485,0,0,0,44,1,106,0,0,36,235,35541,576997,869305,6605
balanceado,Balanceado,81,C080,PARAGUAY,Comunal,107,0.24219521746929906,0,0,0,61,1,106,0,0,36,273,35814,576997,869305,6666
balanceado,Balanceado,82,C030,MAULE,Comunal,77,0.24138376322828461,0,0,0,42,1,106,0,0,36,185,35999,576997,869305,6708
balanceado,Balanceado,83,C028,MADRID,Comunal,76,0.2419480522042618,0,0,0,47,1,106,0,0,36,129,36128,576997,869305,6755
balanceado,Balanceado,84,C034,PEDRO LEON UGALDE,Comunal,78,0.24303685653265636,0,0,0,54,1,106,0,0,36,130,36258,576997,869305,6809
balanceado,Balanceado,85,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,111,0.24102608270246773,0,0,0,14,1,106,0,0,36,137,36395,576997,869305,6823
balanceado,Balanceado,86,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,79,0.2401276968007407,0,0,0,32,1,106,0,0,36,144,36539,576997,869305,6855
balanceado,Balanceado,87,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,30,0.23879598698947255,0,0,0,31,1,106,0,0,36,220,36759,576997,869305,6886
balanceado,Balanceado,88,C076,ISLA DECEPCION,Comunal,92,0.23852189922432,0,0,0,23,1,106,0,0,36,97,36856,576997,869305,6909
balanceado,Balanceado,89,C042,PRINCIPE DE GALES,Comunal,81,0.2384160652407623,0,0,0,11,1,106,0,0,36,190,37046,576997,869305,6920
