scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
educacion,Educación superior,38,C035,PRODIVENCIA,Comunal,60,0.2793402337454376,0,11942,7334,2,2,113,-1,1,29,33,23625,553043,838188,4063
educacion,Educación superior,39,I09,GENERAL VELASQUEZ,Intercomunal,27,0.2657766575838931,735,9656,3912,73,1,113,0,0,29,643,24268,553778,842100,4136
educacion,Educación superior,40,C006,DOMINGO TOCORNAL,Comunal,17,0.2631003728578709,0,4416,2578,70,2,112,-1,1,30,439,24707,553778,844678,4206
educacion,Educación superior,41,C056,TEMUCO - TORO MAZOTTE,Comunal,102,0.2597747668053022,8042,8042,4827,85,1,112,0,0,30,186,24893,561820,849505,4291
educacion,Educación superior,42,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,64,0.2570440760968358,5025,5025,2899,66,1,112,0,0,30,361,25254,566845,852404,4357
educacion,Educación superior,43,I15,MARTINEZ DE ROZAS,Intercomunal,25,0.24982700452930479,0,0,0,254,1,112,0,0,30,640,25894,566845,852404,4611
educacion,Educación superior,44,C085,LOS LIBERTADORES,Comunal,77,0.24063796084019815,5017,5017,2992,8,1,112,0,0,30,177,26071,571862,855396,4619
educacion,Educación superior,45,C003,CONCHA Y TORO,Comunal,37,0.2299274642837284,0,2169,1049,6,2,111,-1,1,31,245,26316,571862,856445,4625
educacion,Educación superior,46,I17,MATUCANA,Intercomunal,62,0.22899069721329843,0,0,0,89,1,111,0,0,31,287,26603,571862,856445,4714
educacion,Educación superior,47,I02,CARLOS VALDOVINOS,Intercomunal,31,0.22408062125056963,0,0,0,108,1,111,0,0,31,687,27290,571862,856445,4822
educacion,Educación superior,48,C090,SANTO DOMINGO,Comunal,69,0.21073397766328825,0,0,0,50,1,111,0,0,31,150,27440,571862,856445,4872
educacion,Educación superior,49,I13,LO ESPEJO-RIQUELME,Intercomunal,40,0.20970228979973532,0,0,0,126,2,110,-1,1,32,700,28140,571862,856445,4998
educacion,Educación superior,50,C043,NEPTUNO,Comunal,50,0.20842281897968332,0,0,0,32,1,110,0,0,32,172,28312,571862,856445,5030
educacion,Educación superior,51,C014,JOSE DOMINGO CAÑAS,Comunal,67,0.20758074148257852,0,0,0,97,1,110,0,0,32,259,28571,571862,856445,5127
educacion,Educación superior,52,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,99,0.20626785268873724,0,5802,3562,5,2,109,-1,1,33,49,28620,571862,860007,5132
educacion,Educación superior,53,C026,LOS MAITENES,Comunal,109,0.2047853073611121,0,6013,3587,30,2,108,-1,1,34,150,28770,571862,863594,5162
educacion,Educación superior,54,I18,NUEVA IMPERIAL,Intercomunal,57,0.20458196916154742,0,0,0,69,1,108,0,0,34,290,29060,571862,863594,5231
educacion,Educación superior,55,I32,EINSTEIN,Intercomunal,78,0.20162677858835806,0,0,0,70,1,108,0,0,34,366,29426,571862,863594,5301
educacion,Educación superior,56,C082,CAUPOLICAN,Comunal,104,0.20067690397088203,2416,2416,1394,12,1,108,0,0,34,118,29544,574278,864988,5313
educacion,Educación superior,57,C015,JOSE MANUEL GUZMAN,Comunal,58,0.19738976005577824,2719,2719,1614,20,1,108,0,0,34,202,29746,576997,866602,5333
educacion,Educación superior,58,C007,EDUARDO CASTILLO VELASCO,Comunal,70,0.19644915412770395,0,0,0,76,1,108,0,0,34,409,30155,576997,866602,5409
educacion,Educación superior,59,C083,ORIENTAL-LAS PARCELAS,Comunal,61,0.19655600667650644,0,0,0,90,1,108,0,0,34,392,30547,576997,866602,5499
educacion,Educación superior,60,I24,RADAL,Intercomunal,20,0.19621975681643267,0,0,0,118,1,108,0,0,34,509,31056,576997,866602,5617
educacion,Educación superior,61,C058,ANTONIO EBNER-BARROS ARANA,Comunal,30,0.194427327097529,0,0,0,147,1,108,0,0,34,341,31397,576997,866602,5764
educacion,Educación superior,62,C001,SAN EUGENIO,Comunal,66,0.19393771828321446,0,0,0,31,1,108,0,0,34,114,31511,576997,866602,5795
educacion,Educación superior,63,C022,LLANURA  - EL DESIERTO,Comunal,71,0.19283288498062695,0,0,0,39,3,106,-2,2,36,122,31633,576997,866602,5834
educacion,Educación superior,64,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,41,0.19270774531818466,1527,3911,2331,55,1,106,0,0,36,332,31965,578524,868933,5889
educacion,Educación superior,65,C078,WALDO TAFF,Comunal,54,0.1919238045486863,0,0,0,48,1,106,0,0,36,157,32122,578524,868933,5937
educacion,Educación superior,66,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,38,0.19136778890724535,0,0,0,51,1,106,0,0,36,259,32381,578524,868933,5988
educacion,Educación superior,67,C062,CORONA SUECA,Comunal,73,0.1909708302319053,0,0,0,57,1,106,0,0,36,280,32661,578524,868933,6045
educacion,Educación superior,68,I07,EL GUANACO,Intercomunal,34,0.19033392677600086,0,0,0,100,1,106,0,0,36,443,33104,578524,868933,6145
educacion,Educación superior,69,C069,LOS OLMOS,Comunal,76,0.18888073977340955,13970,0,0,40,0,107,1,-1,35,167,33271,592494,868933,6185
