scenario,scenario_label,area_population_person_stage,area_demand_trip_stage,population_early_capture_index,demand_early_capture_index
demanda,Demanda potencial,64945037,98620452,0.8726597293583339,0.912585212323053
educacion,Educación superior,66003660,97748744,0.8868843368625611,0.9045157411265079
