scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
integracion,Integración metropolitana,56,C014,JOSE DOMINGO CAÑAS,Comunal,57,0.27516829174885055,0,0,0,97,1,106,0,0,36,259,28103,574278,867692,5074
integracion,Integración metropolitana,57,I32,EINSTEIN,Intercomunal,86,0.26994551728023614,0,0,0,70,1,106,0,0,36,366,28469,574278,867692,5144
integracion,Integración metropolitana,58,C007,EDUARDO CASTILLO VELASCO,Comunal,61,0.2654037414375571,0,0,0,76,1,106,0,0,36,409,28878,574278,867692,5220
integracion,Integración metropolitana,59,C083,ORIENTAL-LAS PARCELAS,Comunal,58,0.2654974717435242,0,0,0,90,1,106,0,0,36,392,29270,574278,867692,5310
integracion,Integración metropolitana,60,I24,RADAL,Intercomunal,24,0.2652025157259156,0,0,0,118,1,106,0,0,36,509,29779,574278,867692,5428
integracion,Integración metropolitana,61,C001,SAN EUGENIO,Comunal,50,0.2632007275388821,0,0,0,31,1,106,0,0,36,114,29893,574278,867692,5459
integracion,Integración metropolitana,62,C078,WALDO TAFF,Comunal,47,0.26143413654368186,0,0,0,48,1,106,0,0,36,157,30050,574278,867692,5507
integracion,Integración metropolitana,63,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,38,0.2609464035248741,0,0,0,51,1,106,0,0,36,259,30309,574278,867692,5558
integracion,Integración metropolitana,64,C015,JOSE MANUEL GUZMAN,Comunal,100,0.2601021791844622,2719,2719,1614,20,1,106,0,0,36,202,30511,576997,869306,5578
integracion,Integración metropolitana,65,C033,OBSERVATORIO,Comunal,81,0.25870758155727147,0,0,0,42,1,106,0,0,36,207,30718,576997,869306,5620
integracion,Integración metropolitana,66,I14,LO OVALLE,Intercomunal,3,0.2581504889601161,0,0,0,238,1,106,0,0,36,1374,32092,576997,869306,5858
integracion,Integración metropolitana,67,C061,EL PINAR,Comunal,39,0.25757094864843105,0,0,0,32,1,106,0,0,36,222,32314,576997,869306,5890
integracion,Integración metropolitana,68,C058,ANTONIO EBNER-BARROS ARANA,Comunal,30,0.2568075968691775,0,0,0,147,1,106,0,0,36,341,32655,576997,869306,6037
integracion,Integración metropolitana,69,C023,AVENIDA DORSAL,Comunal,43,0.25652669606820955,0,0,0,48,1,106,0,0,36,308,32963,576997,869306,6085
integracion,Integración metropolitana,70,C088,ÑUBLE,Comunal,62,0.2562877510909317,0,0,0,39,1,106,0,0,36,207,33170,576997,869306,6124
integracion,Integración metropolitana,71,C032,OBISPO MANUEL UMAÑA,Comunal,42,0.2535890514406116,0,0,0,26,1,106,0,0,36,251,33421,576997,869306,6150
integracion,Integración metropolitana,72,C062,CORONA SUECA,Comunal,102,0.2532576821589294,0,0,0,54,1,106,0,0,36,280,33701,576997,869306,6204
integracion,Integración metropolitana,73,I07,EL GUANACO,Intercomunal,25,0.2532168948327493,0,0,0,100,1,106,0,0,36,443,34144,576997,869306,6304
integracion,Integración metropolitana,74,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,87,0.2503551956424317,0,0,0,25,1,106,0,0,36,168,34312,576997,869306,6329
integracion,Integración metropolitana,75,C047,VIOLETA PARRA,Comunal,89,0.25000017877958874,0,0,0,96,1,106,0,0,36,240,34552,576997,869306,6425
integracion,Integración metropolitana,76,C009,EL ROSAL - SANTA ELENA,Comunal,90,0.2485943064811986,0,0,0,21,1,106,0,0,36,169,34721,576997,869306,6446
integracion,Integración metropolitana,77,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,64,0.24710094814292616,0,0,0,49,1,106,0,0,36,146,34867,576997,869306,6495
integracion,Integración metropolitana,78,I31,FERNANDEZ ALBANO,Intercomunal,99,0.24607568607692099,0,0,0,48,1,106,0,0,36,238,35105,576997,869306,6543
integracion,Integración metropolitana,79,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,112,0.2458593957956811,0,0,0,44,1,106,0,0,36,235,35340,576997,869306,6587
integracion,Integración metropolitana,80,C030,MAULE,Comunal,66,0.24421008565221933,0,0,0,42,1,106,0,0,36,185,35525,576997,869306,6629
integracion,Integración metropolitana,81,C028,MADRID,Comunal,65,0.24442328563978272,0,0,0,47,1,106,0,0,36,129,35654,576997,869306,6676
integracion,Integración metropolitana,82,C034,PEDRO LEON UGALDE,Comunal,67,0.24507488786867795,0,0,0,54,1,106,0,0,36,130,35784,576997,869306,6730
integracion,Integración metropolitana,83,C080,PARAGUAY,Comunal,110,0.244132937021651,0,0,0,61,1,106,0,0,36,273,36057,576997,869306,6791
integracion,Integración metropolitana,84,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,113,0.24353523065584326,0,0,0,14,1,106,0,0,36,137,36194,576997,869306,6805
integracion,Integración metropolitana,85,C037,SAN ALFONSO,Comunal,68,0.24333720898390235,0,0,0,19,1,106,0,0,36,201,36395,576997,869306,6824
integracion,Integración metropolitana,86,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,69,0.2428365377158778,0,0,0,32,1,106,0,0,36,144,36539,576997,869306,6856
integracion,Integración metropolitana,87,C076,ISLA DECEPCION,Comunal,88,0.2420681664236803,0,0,0,23,1,106,0,0,36,97,36636,576997,869306,6879
integracion,Integración metropolitana,88,C084,EL PINO - UNO SUR,Comunal,106,0.2418040880648407,0,0,0,37,1,106,0,0,36,166,36802,576997,869306,6916
integracion,Integración metropolitana,89,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,21,0.24155452282317966,0,0,0,31,1,106,0,0,36,220,37022,576997,869306,6947
