scenario,scenario_label,metric,threshold_pct,step
fractal_alameda,Red dendrítica Alameda (fractal),Conexión OD / demanda habilitada,50,10
fractal_alameda,Red dendrítica Alameda (fractal),Conexión OD / demanda habilitada,75,16
fractal_alameda,Red dendrítica Alameda (fractal),Conexión OD / demanda habilitada,90,31
fractal_alameda,Red dendrítica Alameda (fractal),Conexión OD / demanda habilitada,95,49
fractal_alameda,Red dendrítica Alameda (fractal),Conexión OD / demanda habilitada,99,111
fractal_alameda,Red dendrítica Alameda (fractal),Conectividad topológica / reducción de componentes,50,12
fractal_alameda,Red dendrítica Alameda (fractal),Conectividad topológica / reducción de componentes,75,28
fractal_alameda,Red dendrítica Alameda (fractal),Conectividad topológica / reducción de componentes,90,49
fractal_alameda,Red dendrítica Alameda (fractal),Conectividad topológica / reducción de componentes,95,65
fractal_alameda,Red dendrítica Alameda (fractal),Conectividad topológica / reducción de componentes,99,109
continuidad,Continuidad de red,Población marginal acumulada,50,12
continuidad,Continuidad de red,Población marginal acumulada,75,25
continuidad,Continuidad de red,Población marginal acumulada,90,40
continuidad,Continuidad de red,Población marginal acumulada,95,57
continuidad,Continuidad de red,Población marginal acumulada,99,119
continuidad,Continuidad de red,Conexión OD / demanda habilitada,50,9
continuidad,Continuidad de red,Conexión OD / demanda habilitada,75,15
continuidad,Continuidad de red,Conexión OD / demanda habilitada,90,28
continuidad,Continuidad de red,Conexión OD / demanda habilitada,95,36
continuidad,Continuidad de red,Conexión OD / demanda habilitada,99,57
continuidad,Continuidad de red,Conectividad topológica / reducción de componentes,50,10
continuidad,Continuidad de red,Conectividad topológica / reducción de componentes,75,27
continuidad,Continuidad de red,Conectividad topológica / reducción de componentes,90,38
continuidad,Continuidad de red,Conectividad topológica / reducción de componentes,95,39
continuidad,Continuidad de red,Conectividad topológica / reducción de componentes,99,43
eficiencia,Eficiencia presupuestaria,Población marginal acumulada,50,12
eficiencia,Eficiencia presupuestaria,Población marginal acumulada,75,22
eficiencia,Eficiencia presupuestaria,Población marginal acumulada,90,47
eficiencia,Eficiencia presupuestaria,Población marginal acumulada,95,80
eficiencia,Eficiencia presupuestaria,Población marginal acumulada,99,122
eficiencia,Eficiencia presupuestaria,Conexión OD / demanda habilitada,50,10
eficiencia,Eficiencia presupuestaria,Conexión OD / demanda habilitada,75,15
eficiencia,Eficiencia presupuestaria,Conexión OD / demanda habilitada,90,31
eficiencia,Eficiencia presupuestaria,Conexión OD / demanda habilitada,95,47
eficiencia,Eficiencia presupuestaria,Conexión OD / demanda habilitada,99,98
eficiencia,Eficiencia presupuestaria,Conectividad topológica / reducción de componentes,50,13
eficiencia,Eficiencia presupuestaria,Conectividad topológica / reducción de componentes,75,38
eficiencia,Eficiencia presupuestaria,Conectividad topológica / reducción de componentes,90,52
eficiencia,Eficiencia presupuestaria,Conectividad topológica / reducción de componentes,95,77
eficiencia,Eficiencia presupuestaria,Conectividad topológica / reducción de componentes,99,98
educacion,Educación superior,Población marginal acumulada,50,9
educacion,Educación superior,Población marginal acumulada,75,17
educacion,Educación superior,Población marginal acumulada,90,34
educacion,Educación superior,Población marginal acumulada,95,44
educacion,Educación superior,Población marginal acumulada,99,117
educacion,Educación superior,Conexión OD / demanda habilitada,50,10
educacion,Educación superior,Conexión OD / demanda habilitada,75,15
educacion,Educación superior,Conexión OD / demanda habilitada,90,28
educacion,Educación superior,Conexión OD / demanda habilitada,95,37
educacion,Educación superior,Conexión OD / demanda habilitada,99,53
educacion,Educación superior,Conectividad topológica / reducción de componentes,50,18
educacion,Educación superior,Conectividad topológica / reducción de componentes,75,36
educacion,Educación superior,Conectividad topológica / reducción de componentes,90,49
educacion,Educación superior,Conectividad topológica / reducción de componentes,95,53
educacion,Educación superior,Conectividad topológica / reducción de componentes,99,63
integracion,Integración metropolitana,Población marginal acumulada,50,12
integracion,Integración metropolitana,Población marginal acumulada,75,21
integracion,Integración metropolitana,Población marginal acumulada,90,37
integracion,Integración metropolitana,Población marginal acumulada,95,44
integracion,Integración metropolitana,Población marginal acumulada,99,118
integracion,Integración metropolitana,Conexión OD / demanda habilitada,50,9
integracion,Integración metropolitana,Conexión OD / demanda habilitada,75,15
integracion,Integración metropolitana,Conexión OD / demanda habilitada,90,28
